time,trade_id,ticker,time_to_strike,day_forecast_strike_dev,current_forecast_strike_dev,day_current_forecast_dev,day_wind_gusts_max,day_wind_speed_max,day_cloud_cover_max,day_cloud_cover_min,day_sunshine_duration,hour_wind_gusts,hour_wind_speed,hour_cloud_cover,hour_cloud_cover_high,kalshi_strike_dev,polymk_strike_dev,kalshi_polymk_dev,kalshi_day_forecast_dev,polymk_day_forecast_dev,day_forecast_percipitation,day_forecast_rain,hour_forecast_rain,yes_price,no_price,taker_side,count,shift,strike_m_5.0,strike_m_3.0,strike_m_1.0,strike_p_1.0,strike_p_3.0,strike_p_5.0,impact,result,outcome,count_agg_2,yes_price_vol_2,count_vol_2,taker_side_sentiment_2,yes_price_sentiment_2,count_sentiment_2,yes_price_trend_2,count_agg_5,yes_price_vol_5,count_vol_5,taker_side_sentiment_5,yes_price_sentiment_5,count_sentiment_5,yes_price_trend_5,count_agg_15,yes_price_vol_15,count_vol_15,taker_side_sentiment_15,yes_price_sentiment_15,count_sentiment_15,yes_price_trend_15,count_agg_60,yes_price_vol_60,count_vol_60,taker_side_sentiment_60,yes_price_sentiment_60,count_sentiment_60,yes_price_trend_60,count_agg_120,yes_price_vol_120,count_vol_120,taker_side_sentiment_120,yes_price_sentiment_120,count_sentiment_120,yes_price_trend_120
2025-04-01 00:01:40.399190,b46e3de3-9f4f-4d3c-af8b-34df2f54ab12,KXHIGHNY-25APR01-T57,86239.601,1.6,1.6,0.0,57.6,27.9,100,0,42544.8,11.9,5.7,100,86,0.0,-2.508,2.508,1.6,4.108,100,2.2,0.6,8,92,1,22,-5.0,8,0,0,0,0,0,-6.968,-8,0,22,0.0,0.0,1.0,8.0,22.0,0,22,0.0,0.0,1.0,8.0,22.0,0,22,0.0,0.0,1.0,8.0,22.0,0,22,0.0,0.0,1.0,8.0,22.0,0,22,0.0,0.0,1.0,8.0,22.0,0
2025-04-01 00:02:51.155423,c3646346-5866-4138-9a20-6dd07c91032d,KXHIGHNY-25APR01-B61.5,86168.845,-4.4,-4.4,0.0,57.6,27.9,100,0,42544.8,11.9,5.7,100,86,-2.526,-8.508,5.982,-1.874,4.108,100,2.2,0.6,11,89,1,40,1.0,8,0,0,11,0,0,-5.931,-11,0,64,1.414,26.87,1.0,12.0,21.0,-2,64,1.414,26.87,1.0,12.0,21.0,-2,64,1.414,26.87,1.0,12.0,21.0,-2,64,1.414,26.87,1.0,12.0,21.0,-2,64,1.414,26.87,1.0,12.0,21.0,-2
2025-04-01 00:02:51.155423,37fee631-a69f-4645-83b9-10e4e5aaaeef,KXHIGHNY-25APR01-B61.5,86168.845,-4.4,-4.4,0.0,57.6,27.9,100,0,42544.8,11.9,5.7,100,86,-2.286,-8.508,6.222,-2.114,4.108,100,2.2,0.6,13,87,1,2,1.0,8,0,0,13,0,0,-7.935,-13,0,64,1.414,26.87,1.0,12.0,21.0,-2,64,1.414,26.87,1.0,12.0,21.0,-2,64,1.414,26.87,1.0,12.0,21.0,-2,64,1.414,26.87,1.0,12.0,21.0,-2,64,1.414,26.87,1.0,12.0,21.0,-2
2025-04-01 00:03:09.954102,6175c7b6-ba9e-4f04-8853-75b881681d78,KXHIGHNY-25APR01-B59.5,86150.046,-2.4,-2.4,0.0,57.6,27.9,100,0,42544.8,11.9,5.7,100,86,-0.065,-6.508,6.443,-2.335,4.108,100,2.2,0.6,71,29,1,71,-1.0,8,0,71,13,0,0,-62.8,-71,0,135,0.0,0.0,1.0,71.0,71.0,0,135,0.0,0.0,1.0,71.0,71.0,0,135,0.0,0.0,1.0,71.0,71.0,0,135,0.0,0.0,1.0,71.0,71.0,0,135,0.0,0.0,1.0,71.0,71.0,0
2025-04-01 00:04:36.400338,4f5e9e92-5428-43c1-b979-95189fae6f4a,KXHIGHNY-25APR01-B57.5,86063.6,-0.4,-0.4,0.0,57.6,27.9,100,0,42544.8,11.9,5.7,100,86,1.496,-4.508,6.004,-1.896,4.108,100,2.2,0.6,27,73,1,5,-3.0,8,27,71,13,0,0,65.619,73,1,118,0.0,0.0,1.0,27.0,5.0,0,140,0.0,0.0,1.0,27.0,5.0,0,140,0.0,0.0,1.0,27.0,5.0,0,140,0.0,0.0,1.0,27.0,5.0,0,140,0.0,0.0,1.0,27.0,5.0,0
2025-04-01 00:05:39.172012,db1a528b-5ad4-44af-9ae9-2cb5d9dab6a8,KXHIGHNY-25APR01-B57.5,86000.828,-0.4,-0.4,0.0,57.6,27.9,100,0,42544.8,11.9,5.7,100,86,1.575,-4.508,6.083,-1.975,4.108,100,2.2,0.6,21,79,0,33,-3.0,8,21,71,13,0,0,-71.277,-79,1,38,4.243,19.799,0.5,24.0,19.0,6,173,4.243,19.799,0.5,24.0,19.0,6,173,4.243,19.799,0.5,24.0,19.0,6,173,4.243,19.799,0.5,24.0,19.0,6,173,4.243,19.799,0.5,24.0,19.0,6
2025-04-01 00:06:50.790516,7b067425-c573-43b3-a98a-4b7e6b52480d,KXHIGHNY-25APR01-B57.5,85929.209,-0.4,-0.4,0.0,57.6,27.9,100,0,42544.8,11.9,5.7,100,86,1.575,-4.508,6.083,-1.975,4.108,100,2.2,0.6,21,79,0,100,-3.0,8,21,71,13,0,0,-71.262,-79,1,223,0.577,36.143,0.0,20.667,74.333,1,341,3.202,45.527,0.25,22.25,57.0,7,363,3.202,45.527,0.25,22.25,57.0,7,363,3.202,45.527,0.25,22.25,57.0,7,363,3.202,45.527,0.25,22.25,57.0,7
2025-04-01 00:06:50.790516,547a4782-7ebb-445e-9687-a962beef1393,KXHIGHNY-25APR01-B57.5,85929.209,-0.4,-0.4,0.0,57.6,27.9,100,0,42544.8,11.9,5.7,100,86,1.589,-4.508,6.097,-1.989,4.108,100,2.2,0.6,20,80,0,90,-3.0,8,20,71,13,0,0,-72.263,-80,1,223,0.577,36.143,0.0,20.667,74.333,1,341,3.202,45.527,0.25,22.25,57.0,7,363,3.202,45.527,0.25,22.25,57.0,7,363,3.202,45.527,0.25,22.25,57.0,7,363,3.202,45.527,0.25,22.25,57.0,7
2025-04-01 00:07:59.490206,285312dd-306e-4839-b910-f3a19a6c89be,KXHIGHNY-25APR01-B59.5,85860.51,-2.4,-2.4,0.0,57.6,27.9,100,0,42544.8,11.9,5.7,100,86,-0.407,-6.508,6.101,-1.993,4.108,100,2.2,0.6,72,28,1,11,-1.0,8,20,72,13,0,0,-63.555,-72,0,201,0.0,0.0,1.0,72.0,11.0,0,310,0.707,42.426,1.0,71.5,41.0,-1,374,0.707,42.426,1.0,71.5,41.0,-1,374,0.707,42.426,1.0,71.5,41.0,-1,374,0.707,42.426,1.0,71.5,41.0,-1
2025-04-01 00:11:13.695208,e3d971fd-ad6b-48fe-b63a-ad48bee6af96,KXHIGHNY-25APR01-B59.5,85666.305,-2.4,-2.4,0.0,57.6,27.9,100,0,42544.8,11.9,5.7,100,86,-0.407,-6.627,6.22,-1.993,4.227,100,2.2,0.6,72,28,1,18,-1.0,8,20,72,13,0,0,-63.237,-72,0,18,0.0,0.0,1.0,72.0,18.0,0,219,0.0,4.95,1.0,72.0,14.5,0,392,0.577,32.808,1.0,71.667,33.333,-1,392,0.577,32.808,1.0,71.667,33.333,-1,392,0.577,32.808,1.0,71.667,33.333,-1
