time,trade_id,ticker,time_to_strike,count,shift,kalshi_fair,forecast,yes_price,no_price,taker_side,kalshi_strike_delta,forecast_strike_delta,kalshi_forecast_delta,strike_m_3.5,strike_m_3.0,strike_m_1.0,strike_p_1.0,strike_p_3.0,strike_p_3.5,entropy,impact,result,outcome
2025-01-22 11:22:28.899621,90e62f1e-79e2-4ea5-9a72-3f75597858e4,KXHIGHAUS-25JAN23-B55.5,131791.1,13,3.0,55.5,56.9,23,77,0,0.0,1.4,1.4,0.0,0.0,0.0,0.0,23.0,0.0,-72.116,-76.0,-77,1
2025-01-22 12:30:21.204459,49d1a71e-f09e-429e-bb88-8fa5aa85572d,KXHIGHAUS-25JAN23-B53.5,127718.796,1,1.0,54.406,56.9,25,75,0,0.906,3.4,2.494,0.0,0.0,0.0,25.0,20.7,0.0,-143.196,24.0,25,0
2025-01-22 12:30:21.543199,2ad09e24-4bdf-481f-ba84-40b23fe47549,KXHIGHAUS-25JAN23-B55.5,127718.457,1,3.0,54.659,56.9,31,69,0,-0.841,1.4,2.241,0.0,0.0,0.0,22.5,31.0,0.0,-176.508,-68.0,-69,1
2025-01-22 12:30:21.909785,5a66eb60-c419-44b0-9b8c-7922c18a455e,KXHIGHAUS-25JAN23-T56,127718.09,1,3.5,55.152,56.9,28,72,1,-0.848,0.9,1.748,0.0,0.0,0.0,20.25,27.9,28.0,-247.086,-27.0,-28,0
2025-01-22 15:06:22.709739,fe194a1a-ae27-4806-a37b-96d6adc73703,KXHIGHAUS-25JAN23-T56,118357.29,12,3.5,55.185,56.9,28,72,1,-0.815,0.9,1.715,0.0,0.0,0.0,18.225,25.11,28.0,-227.141,-27.0,-28,0
2025-01-22 15:06:22.709739,56bc2a99-e0e3-4fb0-8a5b-a09a880305f9,KXHIGHAUS-25JAN23-T56,118357.29,38,3.5,55.219,56.9,28,72,1,-0.781,0.9,1.681,0.0,0.0,0.0,16.403,22.599,28.0,-209.648,-27.0,-28,0
2025-01-22 15:17:50.118960,05c8b441-e36a-457d-94b5-2d4c731fdaf1,KXHIGHAUS-25JAN23-B53.5,117669.881,5,1.0,54.97,56.9,25,75,0,1.47,3.4,1.93,0.0,0.0,0.0,25.0,20.339,25.2,-223.061,24.0,25,0
2025-01-22 16:08:33.547394,df3895b1-ad76-45f0-ab7c-ba56d2059749,KXHIGHAUS-25JAN23-B55.5,114626.453,15,3.0,55.069,56.9,33,67,1,-0.431,1.4,1.831,0.0,0.0,0.0,22.5,33.0,22.68,-256.234,66.0,67,1
2025-01-22 16:08:33.547394,196b900d-aa24-412a-8bb0-2a7f062bcc56,KXHIGHAUS-25JAN23-B55.5,114626.453,5,3.0,55.089,56.9,33,67,1,-0.411,1.4,1.811,0.0,0.0,0.0,20.25,33.0,20.412,-237.865,66.0,67,1
2025-01-22 16:43:48.975202,249671fa-6ed5-49c0-a187-5aef8b95e4c2,KXHIGHAUS-25JAN23-B55.5,112511.025,72,3.0,55.103,56.9,32,68,1,-0.397,1.4,1.797,0.0,0.0,0.0,18.225,32.0,18.371,-217.28,67.0,68,1
2025-01-22 16:45:36.868529,0b1efa17-173f-4d68-a5cc-294345588d14,KXHIGHAUS-25JAN23-B55.5,112403.131,72,3.0,55.122,56.9,32,68,0,-0.378,1.4,1.778,0.0,0.0,0.0,16.403,32.0,16.534,-203.172,-67.0,-68,1
2025-01-22 16:47:24.027288,26abce6e-c7a6-42e3-b414-8e3cb7c1b67c,KXHIGHAUS-25JAN23-B55.5,112295.973,13,3.0,55.142,56.9,32,68,0,-0.358,1.4,1.758,0.0,0.0,0.0,14.762,32.0,14.88,-190.822,-67.0,-68,1
2025-01-22 16:48:31.979460,2d717ae8-6715-4811-ad35-7f3ea8899087,KXHIGHAUS-25JAN23-B55.5,112228.021,72,3.0,55.161,56.9,32,68,0,-0.339,1.4,1.739,0.0,0.0,0.0,13.286,32.0,13.392,-180.019,-67.0,-68,1
2025-01-22 16:51:33.589464,9a8341b7-21bb-45b5-aced-2177c344face,KXHIGHAUS-25JAN23-B55.5,112046.411,72,3.0,55.181,56.9,32,68,0,-0.319,1.4,1.719,0.0,0.0,0.0,11.957,32.0,12.053,-170.578,-67.0,-68,1
2025-01-22 17:14:29.031835,f6947300-972b-4810-825b-bafe85dc4d3a,KXHIGHAUS-25JAN23-B49.5,110670.968,89,-3.0,54.32,56.9,9,91,1,4.82,7.4,2.58,0.0,9.0,0.0,10.762,28.8,10.848,-167.984,-7.991,-9,0
2025-01-22 17:14:29.031835,7b412b81-0ba7-44b7-bc5d-f4f953d1a8b9,KXHIGHAUS-25JAN23-B49.5,110670.968,7,-3.0,54.421,56.9,7,93,1,4.921,7.4,2.479,0.0,7.0,0.0,9.686,25.92,9.763,-142.23,-6.0,-7,0
2025-01-22 17:14:29.031835,6f0ce412-ab5b-47c5-8121-1fa23c7f48e7,KXHIGHAUS-25JAN23-B49.5,110670.968,13,-3.0,54.155,56.9,9,91,1,4.655,7.4,2.745,0.0,9.0,0.0,8.717,23.328,8.787,-131.22,-8.0,-9,0
2025-01-22 17:14:29.031835,26822c47-22c3-4120-8766-4119f5c5ab40,KXHIGHAUS-25JAN23-B49.5,110670.968,1,-3.0,54.272,56.9,7,93,1,4.772,7.4,2.628,0.0,7.0,0.0,7.845,20.995,7.908,-110.05,-6.0,-7,0
2025-01-22 17:19:10.656608,1d0f848c-6ea1-41f4-87ae-9205d23508e5,KXHIGHAUS-25JAN23-B53.5,110389.343,12,1.0,53.878,56.9,35,65,1,0.378,3.4,3.022,0.0,4.593,0.0,35.0,13.775,5.188,-176.111,-34.0,-35,0
2025-01-22 17:19:10.656608,6be170d5-dc5e-45f2-ad87-e3642493edab,KXHIGHAUS-25JAN23-B53.5,110389.343,34,1.0,53.89,56.9,37,63,1,0.39,3.4,3.01,0.0,5.103,0.0,37.0,15.306,5.765,-193.777,-36.0,-37,0
2025-01-22 17:19:10.656608,99b0138a-0980-447e-8f7d-02068d35ab62,KXHIGHAUS-25JAN23-B53.5,110389.343,1,1.0,53.951,56.9,35,65,1,0.451,3.4,2.949,0.0,6.3,0.0,35.0,18.896,7.117,-205.533,-34.0,-35,0
2025-01-22 17:19:10.656608,7199313a-3954-45e9-86af-f278d7bdc623,KXHIGHAUS-25JAN23-B53.5,110389.343,12,1.0,53.927,56.9,35,65,1,0.427,3.4,2.973,0.0,5.67,0.0,35.0,17.006,6.406,-194.36,-34.0,-35,0
2025-01-22 17:19:40.869269,82b4e8c2-cd91-4fa1-a37f-709076f18230,KXHIGHAUS-25JAN23-B53.5,110359.131,1,1.0,53.849,56.9,36,64,1,0.349,3.4,3.051,0.0,4.133,0.0,36.0,12.397,4.67,-173.279,-35.0,-36,0
2025-01-22 17:22:46.781538,dddc07d0-bd16-405e-b69d-9de44b117b38,KXHIGHAUS-25JAN23-B53.5,110173.218,25,1.0,53.832,56.9,35,65,1,0.332,3.4,3.068,0.0,3.72,0.0,35.0,11.158,4.203,-162.272,-34.0,-35,0
2025-01-22 17:23:42.664817,c0e25a30-e967-466b-9e3d-12317ef39c9f,KXHIGHAUS-25JAN23-B55.5,110117.335,23,3.0,54.382,56.9,34,66,1,-1.118,1.4,2.518,0.0,3.348,0.0,31.5,34.0,3.782,-237.649,65.0,66,1
2025-01-22 17:25:37.614283,017e58ef-ee2b-44d0-85f7-8325dc78dc2f,KXHIGHAUS-25JAN23-B55.5,110002.386,50,3.0,54.422,56.9,33,67,0,-1.078,1.4,2.478,0.0,3.013,0.0,28.35,33.0,3.404,-217.699,-66.0,-67,1
2025-01-22 17:25:57.420332,10c4e1c4-7d23-43ae-8e5f-76e3c767027f,KXHIGHAUS-25JAN23-B53.5,109982.58,50,1.0,54.346,56.9,31,69,0,0.846,3.4,2.554,0.0,2.712,0.0,31.0,29.7,3.064,-213.307,30.0,31,0
2025-01-22 17:26:31.780299,a6da3baa-db8e-40e1-81c3-5758c182ab27,KXHIGHAUS-25JAN23-B51.5,109948.22,11,-1.0,53.775,56.9,15,85,0,2.275,5.4,3.125,0.0,2.441,15.0,27.9,26.73,2.757,-226.293,12.0,15,0
2025-01-22 17:30:43.077022,dbfbf6c8-1f94-4c04-b620-a9deb0ff9795,KXHIGHAUS-25JAN23-T56,109696.923,15,3.5,54.211,56.9,17,83,1,-1.789,0.9,2.689,0.0,1.977,12.15,22.599,21.651,17.0,-216.895,-16.0,-17,0
2025-01-22 17:30:43.077022,dfe4eda1-74f7-461f-bf0d-4c88d9bcd75f,KXHIGHAUS-25JAN23-T56,109696.923,4,3.5,54.17,56.9,17,83,1,-1.83,0.9,2.73,0.0,2.197,13.5,25.11,24.057,17.0,-242.477,-16.0,-17,0
2025-01-22 17:30:43.077022,cfed182d-aeeb-4f69-8b12-a493ff458652,KXHIGHAUS-25JAN23-T56,109696.923,28,3.5,54.304,56.9,19,81,1,-1.696,0.9,2.596,0.0,1.779,10.935,20.339,19.486,19.0,-202.266,-18.0,-19,0
2025-01-22 17:30:43.077022,29f37f66-695b-4b9f-b9e6-87d9a9726a34,KXHIGHAUS-25JAN23-T56,109696.923,5,3.5,54.301,56.9,17,83,1,-1.699,0.9,2.599,0.0,1.601,9.842,18.305,17.538,17.0,-174.872,-16.0,-17,0
2025-01-22 17:32:31.781936,dd5ea29d-dc66-4ff2-a928-261f02608238,KXHIGHAUS-25JAN23-B55.5,109588.218,1,3.0,54.588,56.9,34,66,1,-0.912,1.4,2.312,0.0,1.441,8.857,16.475,34.0,15.3,-227.638,65.0,66,1
2025-01-22 17:32:31.781936,6635c638-f672-4e49-97ee-16bc6bd0085f,KXHIGHAUS-25JAN23-B55.5,109588.218,11,3.0,54.631,56.9,34,66,1,-0.869,1.4,2.269,0.0,1.297,7.972,14.827,34.0,13.77,-212.875,65.0,66,1
2025-01-22 17:32:31.781936,152ed1c0-c22e-4734-ad97-ef7ba7e05baf,KXHIGHAUS-25JAN23-B55.5,109588.218,31,3.0,54.675,56.9,34,66,1,-0.825,1.4,2.225,0.0,1.167,7.174,13.344,34.0,12.393,-199.986,65.0,66,1
2025-01-22 17:32:55.249398,74944fa7-aa37-4e94-b400-afff4bf29c87,KXHIGHAUS-25JAN23-B53.5,109564.751,11,1.0,54.316,56.9,35,65,1,0.816,3.4,2.584,0.0,0.946,5.811,35.0,27.54,10.038,-249.076,-34.0,-35,0
2025-01-22 17:32:55.249398,eb430ee7-f08a-4b78-a6c7-f5f5f29c3ef5,KXHIGHAUS-25JAN23-B53.5,109564.751,43,1.0,54.354,56.9,35,65,1,0.854,3.4,2.546,0.0,1.051,6.457,35.0,30.6,11.154,-268.115,-34.0,-35,0
2025-01-22 17:32:55.249398,404d79b5-5eb7-4971-bd90-5fdbee86e456,KXHIGHAUS-25JAN23-B53.5,109564.751,11,1.0,54.278,56.9,35,65,1,0.778,3.4,2.622,0.0,0.851,5.23,35.0,24.786,9.034,-232.408,-34.0,-35,0
2025-01-22 17:33:02.338465,ffb919a9-ff9c-485a-8267-eff9e35153f1,KXHIGHAUS-25JAN23-B55.5,109557.662,30,3.0,54.459,56.9,34,66,0,-1.041,1.4,2.441,0.0,0.766,4.707,31.5,34.0,8.131,-252.699,-65.0,-66,1
2025-01-22 17:33:12.467441,578498c8-3433-4826-b9c8-1a95116bfaad,KXHIGHAUS-25JAN23-B53.5,109547.533,13,1.0,54.377,56.9,35,65,0,0.877,3.4,2.523,0.0,0.689,4.236,35.0,30.6,7.318,-249.545,34.0,35,0
2025-01-22 17:33:17.005931,ab95c17c-1275-4ef5-957d-5441d20d1455,KXHIGHAUS-25JAN23-B51.5,109542.994,56,-1.0,54.012,56.9,14,86,0,2.512,5.4,2.888,0.0,0.62,14.0,31.5,27.54,6.586,-249.053,9.049,14,0
2025-01-22 17:33:20.516882,5c5ba5c6-54ec-4fc2-a323-9a3dcabe3394,KXHIGHAUS-25JAN23-B55.5,109539.483,17,3.0,54.196,56.9,35,65,1,-1.304,1.4,2.704,0.0,0.558,12.6,28.35,35.0,5.928,-261.405,64.0,65,1
2025-01-22 17:33:22.740828,9c570a0e-0a53-4572-810b-7f9203b7534a,KXHIGHAUS-25JAN23-B51.5,109537.259,52,-1.0,54.103,56.9,14,86,1,2.603,5.4,2.797,0.0,0.503,14.0,25.515,31.5,5.335,-236.857,-9.412,-14,0
2025-01-22 17:33:22.913361,a5f5677b-842c-4ae9-b82f-5c7b6d2722a8,KXHIGHAUS-25JAN23-B55.5,109537.087,5,3.0,54.208,56.9,34,66,0,-1.292,1.4,2.692,0.0,0.452,12.6,22.964,34.0,4.801,-230.96,-64.912,-66,1
2025-01-22 17:33:28.696210,ca25e6be-dd6d-447f-bc19-d195985d0495,KXHIGHAUS-25JAN23-B51.5,109531.304,11,-1.0,54.105,56.9,14,86,1,2.605,5.4,2.795,0.0,0.407,14.0,20.667,30.6,4.321,-210.179,-9.283,-14,0
2025-01-22 17:33:28.821247,ee634c85-89c1-4966-a786-975d05a9e93b,KXHIGHAUS-25JAN23-B53.5,109531.179,25,1.0,53.98,56.9,35,65,0,0.48,3.4,2.92,0.0,0.366,12.6,35.0,27.54,3.889,-252.589,34.0,35,0
2025-01-22 17:33:28.941868,6a8699c4-9fdc-4baf-8ccd-100e319bf392,KXHIGHAUS-25JAN23-B55.5,109531.058,24,3.0,54.154,56.9,34,66,0,-1.346,1.4,2.746,0.0,0.33,11.34,31.5,34.0,3.5,-260.127,-64.767,-66,1
2025-01-22 17:33:32.587888,9e8a6806-fcdf-46fb-98db-df5dd8971a6f,KXHIGHAUS-25JAN23-B55.5,109527.412,2,3.0,54.214,56.9,34,66,0,-1.286,1.4,2.686,0.0,0.297,10.206,28.35,34.0,3.15,-241.679,-64.763,-66,1
2025-01-22 17:35:26.090447,26a7eb93-4845-413e-981f-cb991ba48b14,KXHIGHAUS-25JAN23-B53.5,109413.91,20,1.0,54.119,56.9,36,64,1,0.619,3.4,2.781,0.0,0.267,9.185,36.0,30.6,2.835,-256.661,-35.0,-36,0
2025-01-22 17:38:42.827337,0e3a085c-1502-417c-885b-67d112a3cf52,KXHIGHAUS-25JAN23-B55.5,109217.173,18,3.0,54.266,56.9,36,64,1,-1.234,1.4,2.634,0.0,0.24,8.267,32.4,36.0,2.552,-261.208,62.708,64,1
2025-01-22 17:54:30.629245,9de6e3e6-cf5d-4318-8c62-9045609baf4d,KXHIGHAUS-25JAN23-B53.5,108269.371,75,1.0,54.191,56.9,37,63,1,0.691,3.4,2.709,0.0,0.216,7.44,37.0,32.4,2.296,-262.806,-36.0,-37,0
2025-01-22 17:54:30.629245,62e019ca-946d-49ad-bf12-530fa78ca3a0,KXHIGHAUS-25JAN23-B53.5,108269.371,21,1.0,54.139,56.9,39,61,1,0.639,3.4,2.761,0.0,0.195,6.696,39.0,29.16,2.067,-255.145,-38.0,-39,0
2025-01-22 17:54:30.629245,3ae57738-5c2b-4326-98e8-7af976592953,KXHIGHAUS-25JAN23-B53.5,108269.371,4,1.0,54.122,56.9,37,63,1,0.622,3.4,2.778,0.0,0.175,6.027,37.0,26.244,1.86,-231.029,-36.0,-37,0
2025-01-22 18:09:44.771024,4135291c-14b8-47be-a6df-92e4ad327ef7,KXHIGHAUS-25JAN23-B51.5,107355.229,81,-1.0,53.813,56.9,14,86,1,2.313,5.4,3.087,0.0,0.158,14.0,33.3,23.62,1.674,-228.94,-9.309,-14,0
2025-01-22 18:20:29.153899,7a9cc2ed-066c-4c50-a5bf-8e8531f8d305,KXHIGHAUS-25JAN23-B51.5,106710.846,40,-1.0,53.699,56.9,16,84,1,2.199,5.4,3.201,0.0,0.142,16.0,29.97,21.258,1.507,-211.584,-11.376,-16,0
2025-01-22 18:46:56.839075,3ae08123-da98-4705-84ed-7da686c71455,KXHIGHAUS-25JAN23-B53.5,105123.161,12,1.0,53.669,56.9,38,62,1,0.169,3.4,3.231,0.0,0.128,14.4,38.0,19.132,1.356,-233.251,-37.0,-38,0
2025-01-22 18:49:10.231769,f8f17b18-b51a-46bf-8f12-69d4222a432e,KXHIGHAUS-25JAN23-B55.5,104989.768,22,3.0,54.041,56.9,34,66,0,-1.459,1.4,2.859,0.0,0.115,12.96,34.2,34.0,1.22,-273.895,-64.725,-66,1
2025-01-22 19:45:39.410991,4bf16d2d-5aff-4643-bd4c-2370b0d08862,KXHIGHAUS-25JAN23-B51.5,101600.589,41,-1.0,53.964,56.9,14,86,1,2.464,5.4,2.936,0.0,0.103,14.0,30.78,30.6,1.098,-246.977,-9.498,-14,0
2025-01-22 19:56:42.342879,b3c8d873-72c6-4d8d-bbf3-98788675fb44,KXHIGHAUS-25JAN23-B53.5,100937.657,68,1.0,53.909,56.9,37,63,1,0.409,3.4,2.991,0.0,0.093,12.6,37.0,27.54,0.989,-256.609,-35.995,-37,0
2025-01-22 19:56:42.342879,756a6ae4-c37e-402d-a018-0f7db2fc86b2,KXHIGHAUS-25JAN23-B53.5,100937.657,18,1.0,53.888,56.9,37,63,1,0.388,3.4,3.012,0.0,0.084,11.34,37.0,24.786,0.89,-240.4,-35.995,-37,0
2025-01-22 19:56:42.342879,2e34f577-99a8-41b3-8ba1-816f805fe347,KXHIGHAUS-25JAN23-B53.5,100937.657,102,1.0,53.858,56.9,39,61,1,0.358,3.4,3.042,0.0,0.075,10.206,39.0,22.307,0.801,-235.477,-37.995,-39,0
2025-01-22 20:02:55.159952,f76c0db2-ffdc-49a5-88b6-6f8e280f2751,KXHIGHAUS-25JAN23-B53.5,100564.84,12,1.0,53.843,56.9,38,62,1,0.343,3.4,3.057,0.0,0.068,9.185,38.0,20.077,0.721,-218.4,-36.947,-38,0
2025-01-22 20:12:17.736366,b817521e-8efb-427b-9f4e-980af22c1e89,KXHIGHAUS-25JAN23-B55.5,100002.264,29,3.0,54.294,56.9,41,59,1,-1.206,1.4,2.606,0.0,0.061,8.267,34.2,41.0,0.649,-290.069,57.669,59,1
2025-01-22 20:12:17.736366,51b8728b-afee-4f3d-b962-8761602aac58,KXHIGHAUS-25JAN23-B55.5,100002.264,43,3.0,54.327,56.9,39,61,1,-1.173,1.4,2.573,0.0,0.055,7.44,30.78,39.0,0.584,-262.816,59.721,61,1
2025-01-22 20:20:46.210756,f0ed22a8-94cb-463d-9d51-d9eb5980d93d,KXHIGHAUS-25JAN23-B53.5,99493.789,10,1.0,54.221,56.9,38,62,1,0.721,3.4,2.679,0.0,0.049,6.696,38.0,35.1,0.525,-275.367,-36.941,-38,0
2025-01-22 20:20:46.210756,28565fcb-ae1b-4e37-a393-ba6aa91b4851,KXHIGHAUS-25JAN23-B53.5,99493.789,67,1.0,54.185,56.9,38,62,1,0.685,3.4,2.715,0.0,0.045,6.027,38.0,31.59,0.473,-257.635,-36.948,-38,0
2025-01-22 20:20:46.210756,274bc570-151c-4f3b-a0ac-074e414d67e1,KXHIGHAUS-25JAN23-B53.5,99493.789,3,1.0,54.131,56.9,40,60,1,0.631,3.4,2.769,0.0,0.04,5.424,40.0,28.431,0.426,-251.406,-38.948,-40,0
2025-01-22 20:42:30.172455,51b4f46b-243a-41e7-8964-9953f21f79a3,KXHIGHAUS-25JAN23-B53.5,98189.828,10,1.0,54.141,56.9,35,65,0,0.641,3.4,2.759,0.0,0.036,4.881,35.0,25.588,0.383,-214.648,33.94,35,0
2025-01-22 20:54:11.191817,01b57d6b-99b5-457e-acd7-63ebbbc2fb78,KXHIGHAUS-25JAN23-B53.5,97488.808,49,1.0,54.069,56.9,39,61,1,0.569,3.4,2.831,0.0,0.032,4.393,39.0,23.029,0.345,-221.14,-37.938,-39,0
2025-01-22 21:05:30.597409,23972cef-4ecb-4645-874c-d3f496416541,KXHIGHAUS-25JAN23-B55.5,96809.403,24,3.0,54.403,56.9,39,61,1,-1.097,1.4,2.497,0.0,0.029,3.954,35.1,39.0,0.31,-272.741,59.691,61,1
2025-01-22 21:12:31.391072,fe76e4fe-6fcd-4ff3-a2b0-a2fc7541b94d,KXHIGHAUS-25JAN23-B55.5,96388.609,8,3.0,54.431,56.9,37,63,1,-1.069,1.4,2.469,0.0,0.026,3.559,31.59,37.0,0.279,-246.745,61.656,63,1
2025-01-22 21:13:12.170968,6a9391b7-7690-4a6f-8b90-8672fbf12460,KXHIGHAUS-25JAN23-B53.5,96347.829,50,1.0,54.271,56.9,42,58,1,0.771,3.4,2.629,0.0,0.024,3.203,42.0,33.3,0.251,-277.01,-40.936,-42,0
2025-01-22 21:14:42.134443,c4a9a47d-0524-4ba7-90cb-3a2f6e6da046,KXHIGHAUS-25JAN23-B53.5,96257.866,27,1.0,54.228,56.9,42,58,1,0.728,3.4,2.672,0.0,0.021,2.882,42.0,29.97,0.226,-261.519,-40.928,-42,0
2025-01-22 21:14:42.134443,6bd33d44-b833-46b8-b280-433e50638973,KXHIGHAUS-25JAN23-B53.5,96257.866,4,1.0,54.185,56.9,42,58,1,0.685,3.4,2.715,0.0,0.019,2.594,42.0,26.973,0.204,-247.927,-40.932,-42,0
2025-01-22 21:15:37.182675,67082573-2075-4d79-b573-872d703bccaf,KXHIGHAUS-25JAN23-T56,96202.817,15,3.5,54.524,56.9,15,85,0,-1.476,0.9,2.376,0.0,0.017,2.335,37.8,24.276,15.0,-257.258,14.0,15,0
2025-01-22 21:15:42.328357,dcabfac3-a04e-4bdd-86a0-1a33bb82925a,KXHIGHAUS-25JAN23-T56,96197.672,89,3.5,54.554,56.9,15,85,0,-1.446,0.9,2.346,0.0,0.016,2.101,34.02,21.848,15.0,-229.485,14.0,15,0
2025-01-22 21:15:54.519780,844c1e6d-1706-46f7-97b7-b2c18e11a7cc,KXHIGHAUS-25JAN23-B55.5,96185.48,5,3.0,54.778,56.9,36,64,1,-0.722,1.4,2.122,0.0,0.013,1.702,27.556,36.0,12.15,-251.582,62.695,64,1
2025-01-22 21:15:54.519780,3a055206-7bca-4338-9ad7-9bc06275679d,KXHIGHAUS-25JAN23-B55.5,96185.48,23,3.0,54.813,56.9,36,64,1,-0.687,1.4,2.087,0.0,0.011,1.532,24.801,36.0,10.935,-235.397,62.66,64,1
2025-01-22 21:15:54.519780,a156888f-ab47-487d-b903-cc047375626b,KXHIGHAUS-25JAN23-B55.5,96185.48,14,3.0,54.742,56.9,36,64,1,-0.758,1.4,2.158,0.0,0.014,1.891,30.618,36.0,13.5,-270.051,62.665,64,1
2025-01-22 21:16:02.930177,4b6b2d04-1905-4e33-9a3e-6af63229cd42,KXHIGHAUS-25JAN23-T56,96177.07,6,3.5,54.899,56.9,15,85,0,-1.101,0.9,2.001,0.0,0.01,1.379,22.321,32.4,15.0,-223.026,14.0,15,0
