time,trade_id,ticker,time_to_strike,count,shift,kalshi_fair,forecast,yes_price,no_price,taker_side,kalshi_strike_delta,forecast_strike_delta,kalshi_forecast_delta,strike_m_3.5,strike_m_3.0,strike_m_1.0,strike_p_1.0,strike_p_3.0,strike_p_3.5,entropy,impact,result,outcome
2024-12-27 10:24:06.620392,b0f8fbc3-c507-4fd5-857e-b0a8df5020a9,KXHIGHDEN-24DEC28-B53.5,135293.38,4,-1.0,53.5,50.3,24,76,0,0.0,-3.2,-3.2,0.0,0.0,24.0,0.0,0.0,0.0,-76.273,23.0,24,0
2024-12-27 10:24:07.998168,767cebb6-1f1d-4a05-9ca0-fc8afd10150a,KXHIGHDEN-24DEC28-B55.5,135292.002,4,1.0,54.629,50.3,28,72,0,-0.871,-5.2,-4.329,0.0,0.0,21.6,28.0,0.0,0.0,-159.672,27.0,28,0
2024-12-27 12:48:57.120872,95124a10-2cf2-4e54-9dc2-8b9faa04b141,KXHIGHDEN-24DEC28-B51.5,126602.879,100,-3.0,53.842,50.3,15,85,1,2.342,-1.2,-3.542,0.0,15.0,19.44,25.2,0.0,0.0,-179.622,84.0,85,1
2024-12-27 12:48:57.199316,eb1cf9a8-957f-47e3-bebe-71fe1d21fc52,KXHIGHDEN-24DEC28-B51.5,126602.801,200,-3.0,53.778,50.3,15,85,1,2.278,-1.2,-3.478,0.0,15.0,17.496,22.68,0.0,0.0,-161.489,84.0,85,1
2024-12-27 12:48:57.268821,c10e2624-bea7-444b-974f-9488b07c9e0c,KXHIGHDEN-24DEC28-B51.5,126602.731,100,-3.0,53.712,50.3,15,85,1,2.212,-1.2,-3.412,0.0,15.0,15.746,20.412,0.0,0.0,-145.593,84.0,85,1
2024-12-27 13:59:33.281531,f8833686-6abf-4288-84f1-19cd89e03815,KXHIGHDEN-24DEC28-B51.5,122366.718,10,-3.0,53.555,50.3,17,83,0,2.055,-1.2,-3.255,0.0,17.0,14.172,18.371,0.0,0.0,-139.211,-82.0,-83,1
2024-12-27 14:00:56.136617,02886bbc-a453-4ad6-8dcf-1c2b9310c557,KXHIGHDEN-24DEC28-T51,122283.863,9,-3.5,53.087,50.3,10,90,0,2.087,-0.7,-2.787,10.0,15.3,12.755,16.534,0.0,0.0,-143.618,9.0,10,0
2024-12-27 14:08:46.666187,fad32346-64f5-4820-b8ec-434441c43d04,KXHIGHDEN-24DEC28-B53.5,121813.334,26,-1.0,53.225,50.3,36,64,1,-0.275,-3.2,-2.925,9.0,13.77,36.0,14.88,0.0,0.0,-225.071,-35.0,-36,0
2024-12-27 14:10:27.855499,820c45d8-c222-4ae7-ae98-9859ba659720,KXHIGHDEN-24DEC28-B55.5,121712.145,39,1.0,53.588,50.3,26,74,1,-1.912,-5.2,-3.288,8.1,12.393,32.4,26.0,0.0,0.0,-245.542,-25.0,-26,0
2024-12-27 14:32:16.529974,5242558d-845f-4e65-bcac-559fdb64248d,KXHIGHDEN-24DEC28-T51,120403.47,99,-3.5,53.493,50.3,10,90,0,2.493,-0.7,-3.193,10.0,11.154,29.16,23.4,0.0,0.0,-222.051,9.0,10,0
