time,trade_id,ticker,time_to_strike,count,shift,kalshi_fair,forecast,yes_price,no_price,taker_side,kalshi_strike_delta,forecast_strike_delta,kalshi_forecast_delta,strike_m_3.5,strike_m_3.0,strike_m_1.0,strike_p_1.0,strike_p_3.0,strike_p_3.5,entropy,impact,result,outcome
2025-04-12 10:11:48.609085,021e5c3f-eb9e-4d77-8c71-bf18962277ec,KXHIGHLAX-25APR13-B70.5,136031.391,3,3.0,70.5,63.7,22,78,1,0.0,-6.8,-6.8,0.0,0.0,0.0,0.0,22.0,0.0,-68.003,-21.0,-22,0
2025-04-12 11:07:02.848369,32c2fd55-d246-4253-b489-fd203a890d75,KXHIGHLAX-25APR13-B64.5,132717.152,21,-3.0,68.487,63.7,10,90,0,3.987,-0.8,-4.787,0.0,10.0,0.0,0.0,19.8,0.0,-82.142,-89.0,-90,1
2025-04-12 11:14:58.633385,ed9f75ba-af87-4dfd-9f06-68f93963db77,KXHIGHLAX-25APR13-B66.5,132241.367,8,-1.0,67.454,63.7,29,71,1,0.954,-2.8,-3.754,0.0,9.0,29.0,0.0,17.82,0.0,-168.754,-28.0,-29,0
2025-04-12 11:14:58.633385,825dd9f8-20c3-4401-a8c3-cf29aba0ad00,KXHIGHLAX-25APR13-B66.5,132241.367,2,-1.0,67.402,63.7,29,71,1,0.902,-2.8,-3.702,0.0,8.1,29.0,0.0,16.038,0.0,-159.101,-28.0,-29,0
2025-04-12 11:15:09.436997,df7f33d0-0a38-4377-bcb3-fa1f4af7ae48,KXHIGHLAX-25APR13-B68.5,132230.563,37,1.0,67.851,63.7,33,67,1,-0.649,-4.8,-4.151,0.0,7.29,26.1,33.0,14.434,0.0,-253.536,-30.237,67,1
2025-04-12 11:15:09.436997,24ef73c5-18bd-4b5f-9c75-755d13134ef4,KXHIGHLAX-25APR13-B68.5,132230.563,4,1.0,67.879,63.7,33,67,1,-0.621,-4.8,-4.179,0.0,6.561,23.49,33.0,12.991,0.0,-235.186,-25.909,67,1
2025-04-12 11:15:09.436997,08dd1a69-c198-4b65-8815-16d25bb4de15,KXHIGHLAX-25APR13-B68.5,132230.563,4,1.0,67.907,63.7,33,67,1,-0.593,-4.8,-4.207,0.0,5.905,21.141,33.0,11.692,0.0,-219.125,25.0,67,1
2025-04-12 11:15:23.391039,54cda070-6aa1-4e6e-b1c0-ac1eb5f504f2,KXHIGHLAX-25APR13-B66.5,132216.609,17,-1.0,67.719,63.7,29,71,1,1.219,-2.8,-4.019,0.0,5.314,29.0,29.7,10.523,0.0,-232.011,-25.826,-29,0
2025-04-12 11:21:54.237893,d6fc7cfe-4969-4d4c-9b89-82c87070a72a,KXHIGHLAX-25APR13-B68.5,131825.762,1,1.0,67.786,63.7,33,67,1,-0.714,-4.8,-4.086,0.0,4.783,26.1,33.0,9.47,0.0,-229.298,-30.759,67,1
2025-04-12 11:41:02.538695,06ac7c93-b440-40ee-84a9-9fe2586c1aae,KXHIGHLAX-25APR13-B68.5,130677.461,4,1.0,67.839,63.7,35,65,1,-0.661,-4.8,-4.139,0.0,4.305,23.49,35.0,8.523,0.0,-223.132,-32.953,65,1
