time,trade_id,ticker,time_to_strike,count,shift,kalshi_fair,forecast,yes_price,no_price,taker_side,kalshi_strike_delta,forecast_strike_delta,kalshi_forecast_delta,strike_m_3.5,strike_m_3.0,strike_m_1.0,strike_p_1.0,strike_p_3.0,strike_p_3.5,entropy,impact,result,outcome
2025-04-26 10:21:22.505639,e88f82ce-83a6-4714-9301-e17148c6ee16,KXHIGHMIA-25APR27-T87,135457.494,7,3.5,87.0,86.2,11,89,0,0.0,-0.8,-0.8,0.0,0.0,0.0,0.0,0.0,11.0,-26.377,10.0,11,0
2025-04-26 10:24:27.753404,28af1a73-154b-4100-942a-292563bc2e85,KXHIGHMIA-25APR27-B86.5,135272.247,7,3.0,86.627,86.2,29,71,1,0.127,-0.3,-0.427,0.0,0.0,0.0,0.0,29.0,9.9,-120.348,-28.0,-29,0
2025-04-26 10:26:20.970887,3b2d802d-4fe8-4615-b8d1-ac2fe8d2cc40,KXHIGHMIA-25APR27-B84.5,135159.029,2,1.0,85.467,86.2,42,58,1,0.967,1.7,0.733,0.0,0.0,0.0,42.0,26.1,8.91,-261.606,57.0,58,1
2025-04-26 10:33:24.206111,84340a86-97da-43a1-ab9e-a117e3ec00df,KXHIGHMIA-25APR27-T87,134735.794,5,3.5,85.53,86.2,11,89,0,-1.47,-0.8,0.67,0.0,0.0,0.0,37.8,23.49,11.0,-237.826,10.0,11,0
2025-04-26 10:33:24.277888,34bd5abc-7fab-4093-b9fb-a3fa6da61cd3,KXHIGHMIA-25APR27-T87,134735.722,46,3.5,85.533,86.2,10,90,0,-1.467,-0.8,0.667,0.0,0.0,0.0,34.02,21.141,10.0,-207.518,9.0,10,0
2025-04-26 11:00:34.637304,51dafffb-10be-4347-986d-cecefc2b9a04,KXHIGHMIA-25APR27-B84.5,133105.363,5,1.0,85.353,86.2,43,57,1,0.853,1.7,0.847,0.0,0.0,0.0,43.0,19.027,9.0,-237.557,56.0,57,1
2025-04-26 11:00:34.705239,7fd99798-769e-498b-8442-f684ce92266e,KXHIGHMIA-25APR27-B84.5,133105.295,22,1.0,85.287,86.2,44,56,1,0.787,1.7,0.913,0.0,0.0,0.0,44.0,17.124,8.1,-232.09,55.0,56,1
2025-04-26 11:03:22.988901,2b4e5587-17fd-4ca8-8e79-423f0b3602b1,KXHIGHMIA-25APR27-B84.5,132937.011,23,1.0,85.204,86.2,47,53,1,0.704,1.7,0.996,0.0,0.0,0.0,47.0,15.412,7.29,-237.592,52.0,53,1
2025-04-26 11:06:24.493848,cec275f2-8484-4373-9d97-d8b76cf7c069,KXHIGHMIA-25APR27-B84.5,132755.506,24,1.0,85.118,86.2,51,49,1,0.618,1.7,1.082,0.0,0.0,0.0,51.0,13.871,6.561,-249.342,48.0,49,1
2025-04-26 11:16:03.874551,f6c2a730-e056-4c54-b584-77d27534b776,KXHIGHMIA-25APR27-B86.5,132176.125,55,3.0,85.44,86.2,32,68,0,-1.06,-0.3,0.76,0.0,0.0,0.0,45.9,32.0,5.905,-297.024,31.0,32,0
2025-04-26 11:16:03.874551,113e3aff-6e68-4a8a-84da-6e7c2a1a4734,KXHIGHMIA-25APR27-B86.5,132176.125,107,3.0,85.456,86.2,30,70,0,-1.044,-0.3,0.744,0.0,0.0,0.0,41.31,30.0,5.314,-264.632,29.0,30,0
2025-04-26 11:16:04.218668,ce62539f-d9de-4458-8222-edeb07614e08,KXHIGHMIA-25APR27-T87,132175.781,41,3.5,85.483,86.2,6,94,0,-1.517,-0.8,0.717,0.0,0.0,0.0,37.179,27.0,6.0,-234.168,4.95,6,0
2025-04-26 11:16:04.218668,a894c961-5913-42b2-987d-da3b0a51c91c,KXHIGHMIA-25APR27-T87,132175.781,5,3.5,85.565,86.2,9,91,0,-1.435,-0.8,0.635,0.0,0.0,0.0,33.461,24.3,9.0,-214.765,8.0,9,0
2025-04-26 11:16:04.218668,1d004530-901b-4a9a-951d-b3f432ae3ece,KXHIGHMIA-25APR27-T87,132175.781,5,3.5,85.563,86.2,8,92,0,-1.437,-0.8,0.637,0.0,0.0,0.0,30.115,21.87,8.0,-186.649,7.0,8,0
2025-04-26 11:16:09.564361,3fe39145-7390-4e03-9f57-3cf361ce5b45,KXHIGHMIA-25APR27-B84.5,132170.436,25,1.0,85.209,86.2,54,46,1,0.709,1.7,0.991,0.0,0.0,0.0,54.0,19.683,7.2,-288.269,45.0,46,1
2025-04-26 11:20:17.070788,24a44456-7419-4f09-9c24-33b23d83a21c,KXHIGHMIA-25APR27-T87,131922.929,5,3.5,85.172,86.2,5,95,1,-1.828,-0.8,1.028,0.0,0.0,0.0,48.6,17.715,5.0,-247.71,-3.906,-5,0
2025-04-26 11:36:22.084983,e871e7cd-5fc7-4934-9bab-261b7d3393ea,KXHIGHMIA-25APR27-T87,130957.915,32,3.5,85.214,86.2,6,94,1,-1.786,-0.8,0.986,0.0,0.0,0.0,43.74,15.943,6.0,-220.159,-4.901,-6,0
2025-04-26 11:39:24.195492,7fd2c270-17af-4825-afc7-867d6ccbf3df,KXHIGHMIA-25APR27-T87,130775.805,30,3.5,85.232,86.2,6,94,1,-1.768,-0.8,0.968,0.0,0.0,0.0,39.366,14.349,6.0,-193.559,-4.837,-6,0
