time,trade_id,ticker,time_to_strike,count,shift,kalshi_fair,yes_price,no_price,taker_side,day_forecast_high,day_forecast_strike_dev,day_forecast_wet_bulb_strike_dev,day_forecast_apparent_temperature_strike_dev,day_forecast_dew_point_strike_dev,current_forecast_strike_dev,day_current_forecast_dev,day_wind_gusts_max,day_wind_speed_max,day_cloud_cover_max,day_cloud_cover_min,day_sunshine_duration,hour_wind_gusts,hour_wind_speed,hour_cloud_cover,hour_cloud_cover_high,kalshi_strike_dev,kalshi_day_forecast_dev,day_forecast_percipitation,day_forecast_rain,hour_forecast_rain,strike_m_5.0,strike_m_3.0,strike_m_1.0,strike_p_1.0,strike_p_3.0,strike_p_5.0,kalshi_dist_entropy,impact,result,outcome
2024-09-19 10:22:47.912782,3b518021-d79a-4dc0-a905-fe885926f2fb,HIGHNY-24SEP20-B78.5,135372.087,1,3.0,78.5,49,51,1,79.7,1.2,-10.0,1.4,-15.2,-5.1,6.3,31.7,18.1,100,0,40187.38,23.4,14.9,20,3,0.0,1.2,0.0,0.0,0.0,0,0,0,0,49,0,-190.699,-48.0,-49,0
2024-09-19 10:36:35.395752,bb5deb73-cb9f-4e69-ae64-0747b04fd7d1,HIGHNY-24SEP20-B76.5,134544.604,100,1.0,77.667,35,65,0,79.7,3.2,-8.0,3.4,-13.2,-3.1,6.3,31.7,18.1,100,0,40187.38,23.4,14.9,20,3,1.167,2.033,0.0,0.0,0.0,0,0,0,35,49,0,-315.136,34.0,35,0
2024-09-19 10:36:35.395752,1106f336-4bb4-4012-8839-d54755e575ce,HIGHNY-24SEP20-B76.5,134544.604,2,1.0,77.667,35,65,0,79.7,3.2,-8.0,3.4,-13.2,-3.1,6.3,31.7,18.1,100,0,40187.38,23.4,14.9,20,3,1.167,2.033,0.0,0.0,0.0,0,0,0,35,49,0,-315.136,34.0,35,0
2024-09-19 10:40:04.601620,d19f2de6-1c8d-4a0a-94c4-55d551cef1f9,HIGHNY-24SEP20-B78.5,134335.398,41,3.0,77.625,45,55,0,79.7,1.2,-10.0,1.4,-15.2,-5.1,6.3,31.7,18.1,100,0,40187.38,23.4,14.9,20,3,-0.875,2.075,0.0,0.0,0.0,0,0,0,35,45,0,-295.737,44.0,45,0
2024-09-19 10:40:04.892288,93a10dce-b685-4e95-ac3b-b37e91a575db,HIGHNY-24SEP20-T79,134335.108,23,5.0,78.027,13,87,0,79.7,-0.8,-12.0,-0.6,-17.2,-7.1,6.3,31.7,18.1,100,0,40187.38,23.4,14.9,20,3,-2.473,1.673,0.0,0.0,0.0,0,0,0,35,45,13,-329.081,-86.0,-87,1
2024-09-19 10:40:04.892288,1eae8901-f34d-4cf0-92f8-77c95d15650c,HIGHNY-24SEP20-T79,134335.108,18,5.0,78.079,15,85,0,79.7,-0.8,-12.0,-0.6,-17.2,-7.1,6.3,31.7,18.1,100,0,40187.38,23.4,14.9,20,3,-2.421,1.621,0.0,0.0,0.0,0,0,0,35,45,15,-336.358,-84.0,-85,1
2024-09-19 11:54:12.998994,a708cb8f-f429-444e-8d00-7c84b52907d5,HIGHNY-24SEP20-T72,129887.001,50,-5.0,78.0,1,99,0,79.7,9.2,-2.0,9.4,-7.2,6.7,2.5,31.7,18.1,100,0,40187.38,24.5,13.9,34,34,7.5,1.7,0.0,0.0,0.0,1,0,0,35,45,15,-336.358,0.0,1,0
2024-09-19 12:16:50.079328,0b609020-56d7-414f-a151-f19ca1e93b23,HIGHNY-24SEP20-B76.5,128529.921,1,1.0,78.065,31,69,0,79.8,3.3,-8.0,3.4,-13.2,3.3,-0.1,31.7,18.1,100,0,40187.38,21.2,12.6,1,1,1.565,1.635,0.0,0.0,0.0,1,0,0,31,45,15,-318.374,30.0,31,0
2024-09-19 12:41:20.593265,05e8b8f9-dda1-4771-9352-20a4414bacbe,HIGHNY-24SEP20-T79,127059.407,180,5.0,78.214,21,79,1,79.8,-0.7,-12.0,-0.6,-17.2,-0.7,-0.1,31.7,18.1,100,0,40187.38,21.2,12.6,1,1,-2.286,1.486,0.0,0.0,0.0,1,0,0,31,45,21,-341.688,78.0,79,1
2024-09-19 12:41:20.593265,114ef1c1-1bff-4214-af7f-7049e8a39bf7,HIGHNY-24SEP20-T79,127059.407,1,5.0,78.117,17,83,1,79.8,-0.7,-12.0,-0.6,-17.2,-0.7,-0.1,31.7,18.1,100,0,40187.38,21.2,12.6,1,1,-2.383,1.583,0.0,0.0,0.0,1,0,0,31,45,17,-325.918,82.0,83,1
2024-09-19 12:41:20.593265,a296111f-6372-440b-b1fc-deaaa0fafc02,HIGHNY-24SEP20-T79,127059.407,1,5.0,78.214,21,79,1,79.8,-0.7,-12.0,-0.6,-17.2,-0.7,-0.1,31.7,18.1,100,0,40187.38,21.2,12.6,1,1,-2.286,1.486,0.0,0.0,0.0,1,0,0,31,45,21,-341.688,78.0,79,1
2024-09-19 12:41:20.593265,261dfdb1-3360-4671-8d6b-d77dbf1338f7,HIGHNY-24SEP20-T79,127059.407,72,5.0,78.142,18,82,1,79.8,-0.7,-12.0,-0.6,-17.2,-0.7,-0.1,31.7,18.1,100,0,40187.38,21.2,12.6,1,1,-2.358,1.558,0.0,0.0,0.0,1,0,0,31,45,18,-329.78,81.0,82,1
2024-09-19 12:41:20.593265,ce85947e-1a6d-40e6-a4a7-4d085468a850,HIGHNY-24SEP20-T79,127059.407,1,5.0,78.191,20,80,1,79.8,-0.7,-12.0,-0.6,-17.2,-0.7,-0.1,31.7,18.1,100,0,40187.38,21.2,12.6,1,1,-2.309,1.509,0.0,0.0,0.0,1,0,0,31,45,20,-337.668,79.0,80,1
2024-09-19 12:41:20.593265,cfbc48e1-060a-493d-bccb-eae4d468bee9,HIGHNY-24SEP20-T79,127059.407,1,5.0,78.142,18,82,1,79.8,-0.7,-12.0,-0.6,-17.2,-0.7,-0.1,31.7,18.1,100,0,40187.38,21.2,12.6,1,1,-2.358,1.558,0.0,0.0,0.0,1,0,0,31,45,18,-329.78,81.0,82,1
2024-09-19 12:41:20.593265,d5035ffa-0b40-4147-8f58-c3706c90ab7b,HIGHNY-24SEP20-T79,127059.407,180,5.0,78.191,20,80,1,79.8,-0.7,-12.0,-0.6,-17.2,-0.7,-0.1,31.7,18.1,100,0,40187.38,21.2,12.6,1,1,-2.309,1.509,0.0,0.0,0.0,1,0,0,31,45,20,-337.668,79.0,80,1
2024-09-19 12:41:20.593265,aaf8c892-2ec6-46f0-b3dc-4dfd28c05383,HIGHNY-24SEP20-T79,127059.407,1,5.0,78.167,19,81,1,79.8,-0.7,-12.0,-0.6,-17.2,-0.7,-0.1,31.7,18.1,100,0,40187.38,21.2,12.6,1,1,-2.333,1.533,0.0,0.0,0.0,1,0,0,31,45,19,-333.698,80.0,81,1
2024-09-19 12:41:30.144176,bd0c7c6a-e6e3-43d3-92fe-f80cc85de187,HIGHNY-24SEP20-T79,127049.856,180,5.0,78.282,24,76,1,79.8,-0.7,-12.0,-0.6,-17.2,-0.7,-0.1,31.7,18.1,100,0,40187.38,21.2,12.6,1,1,-2.218,1.418,0.0,0.0,0.0,1,0,0,31,45,24,-354.027,74.964,76,1
2024-09-19 12:41:30.144176,913e9a16-e3b6-46e1-9036-11e2ba6a0c7e,HIGHNY-24SEP20-T79,127049.856,126,5.0,78.237,22,78,1,79.8,-0.7,-12.0,-0.6,-17.2,-0.7,-0.1,31.7,18.1,100,0,40187.38,21.2,12.6,1,1,-2.263,1.463,0.0,0.0,0.0,1,0,0,31,45,22,-345.756,76.999,78,1
2024-09-19 12:41:30.144176,39064d5c-f1a4-47b4-98db-2df64f2351ac,HIGHNY-24SEP20-T79,127049.856,180,5.0,78.325,26,74,1,79.8,-0.7,-12.0,-0.6,-17.2,-0.7,-0.1,31.7,18.1,100,0,40187.38,21.2,12.6,1,1,-2.175,1.375,0.0,0.0,0.0,1,0,0,31,45,26,-362.464,73.0,74,1
2024-09-19 12:44:42.586797,092b2eb2-c027-4e5c-9be5-7fd696c3f344,HIGHNY-24SEP20-B78.5,126857.413,20,3.0,78.324,44,56,0,79.8,1.3,-10.0,1.4,-15.2,1.3,-0.1,31.7,18.1,100,0,40187.38,21.2,12.6,1,1,-0.176,1.376,0.0,0.0,0.0,1,0,0,31,44,26,-357.668,43.0,44,0
2024-09-19 13:08:43.038738,955ab11b-b7e6-4cec-a6c5-9d9d5d5a9067,HIGHNY-24SEP20-B78.5,125416.961,54,3.0,78.322,43,57,0,82.6,4.1,-10.0,1.4,-15.2,4.1,-2.9,31.7,18.1,100,0,40187.38,24.5,14.4,7,7,-0.178,1.378,0.0,0.0,0.0,1,0,0,31,43,26,-352.896,42.0,43,0
2024-09-19 13:08:55.022159,bb5e0cc9-dd21-4d38-98c7-f2270bcdf032,HIGHNY-24SEP20-B78.5,125404.978,90,3.0,78.322,43,57,0,82.6,4.1,-10.0,1.4,-15.2,4.1,-2.9,31.7,18.1,100,0,40187.38,24.5,14.4,7,7,-0.178,1.378,0.0,0.0,0.0,1,0,0,31,43,26,-352.896,42.0,43,0
2024-09-19 13:51:04.402872,d1b7c484-1080-4949-86eb-4e12980b7486,HIGHNY-24SEP20-B78.5,122875.597,1,3.0,78.322,43,57,0,82.6,4.1,-10.0,1.4,-15.2,4.1,-2.9,31.7,18.1,100,0,40187.38,24.5,14.4,7,7,-0.178,1.378,0.0,0.0,0.0,1,0,0,31,43,26,-352.896,41.993,43,0
2024-09-19 13:51:10.282243,713f629e-7381-410c-b728-540562366745,HIGHNY-24SEP20-B76.5,122869.718,1,1.0,78.204,38,62,1,82.6,6.1,-8.0,3.4,-13.2,6.1,-2.9,31.7,18.1,100,0,40187.38,24.5,14.4,7,7,1.704,1.496,0.0,0.0,0.0,1,0,0,38,43,26,-384.67,-36.982,-38,0
2024-09-19 13:51:19.180427,04a0eeed-042e-4a18-b7cb-f5670edb6d0b,HIGHNY-24SEP20-B74.5,122860.82,1,-1.0,77.833,12,88,1,82.6,8.1,-6.0,5.4,-11.2,8.1,-2.9,31.7,18.1,100,0,40187.38,24.5,14.4,7,7,3.333,1.867,0.0,0.0,0.0,1,0,12,38,43,26,-414.489,-11.0,-12,0
2024-09-19 13:51:25.395915,e456a98d-41dc-4649-b0cb-ba9e8fdcf3ab,HIGHNY-24SEP20-T79,122854.604,1,5.0,77.591,16,84,0,82.6,2.1,-12.0,-0.6,-17.2,2.1,-2.9,31.7,18.1,100,0,40187.38,24.5,14.4,7,7,-2.909,2.109,0.0,0.0,0.0,1,0,12,38,43,16,-374.14,-82.524,-84,1
2024-09-19 14:35:18.144555,b35429df-4f51-4e26-8c92-cdbbb45d5042,HIGHNY-24SEP20-B76.5,120221.855,1,1.0,77.654,32,68,0,83.8,7.3,-8.0,3.4,-13.2,7.3,-4.1,31.7,18.1,100,0,40187.38,20.2,13.9,1,0,1.154,2.046,0.0,0.0,0.0,1,0,12,32,43,16,-346.815,30.959,32,0
2024-09-19 14:35:18.773632,c0544920-1120-4d2c-ae64-e8db073782d0,HIGHNY-24SEP20-T79,120221.226,1,5.0,77.833,23,77,1,83.8,3.3,-12.0,-0.6,-17.2,3.3,-4.1,31.7,18.1,100,0,40187.38,20.2,13.9,1,0,-2.667,1.867,0.0,0.0,0.0,1,0,12,32,43,23,-374.57,74.866,77,1
2024-09-19 15:52:39.607698,e15ec32d-985c-4a47-ade3-d2e0b2d7d073,HIGHNY-24SEP20-B76.5,115580.392,108,1.0,77.845,31,69,0,84.2,7.7,-8.0,3.4,-13.2,7.7,-4.5,31.7,18.1,100,0,40187.38,19.8,14.2,0,0,1.345,1.855,0.0,0.0,0.0,1,0,12,31,43,23,-370.12,29.182,31,0
2024-09-19 15:52:39.628110,e4de0172-f305-49ad-a216-badf91a2023d,HIGHNY-24SEP20-B76.5,115580.372,50,1.0,77.896,27,73,0,84.2,7.7,-8.0,3.4,-13.2,7.7,-4.5,31.7,18.1,100,0,40187.38,19.8,14.2,0,0,1.396,1.804,0.0,0.0,0.0,1,0,12,27,43,23,-352.654,25.139,27,0
2024-09-19 15:52:39.628110,32803cd3-74d1-4793-a2f8-1898d2d1d0fa,HIGHNY-24SEP20-B76.5,115580.372,41,1.0,77.845,31,69,0,84.2,7.7,-8.0,3.4,-13.2,7.7,-4.5,31.7,18.1,100,0,40187.38,19.8,14.2,0,0,1.345,1.855,0.0,0.0,0.0,1,0,12,31,43,23,-370.12,29.156,31,0
2024-09-19 15:52:39.628110,2985e2f8-c742-46b7-8f75-484c4b3f0ce2,HIGHNY-24SEP20-B76.5,115580.372,9,1.0,77.91,26,74,0,84.2,7.7,-8.0,3.4,-13.2,7.7,-4.5,31.7,18.1,100,0,40187.38,19.8,14.2,0,0,1.41,1.79,0.0,0.0,0.0,1,0,12,26,43,23,-348.377,24.16,26,0
