time,trade_id,ticker,time_to_strike,count,shift,kalshi_fair,yes_price,no_price,taker_side,day_forecast_high,day_forecast_strike_dev,day_forecast_wet_bulb_strike_dev,current_forecast_strike_dev,day_current_forecast_dev,day_wind_gusts_max,day_wind_speed_max,day_cloud_cover_max,day_cloud_cover_min,day_sunshine_duration,hour_wind_gusts,hour_wind_speed,hour_cloud_cover,hour_cloud_cover_high,kalshi_strike_dev,kalshi_day_forecast_dev,day_forecast_percipitation,day_forecast_rain,hour_forecast_rain,strike_m_5.0,strike_m_3.0,strike_m_1.0,strike_p_1.0,strike_p_3.0,strike_p_5.0,kalshi_dist_entropy,impact,result,outcome
2024-12-19 10:46:49.781037,a4fb7ae1-99e4-4792-978e-19362853e20d,KXHIGHNY-24DEC20-B39.5,133930.219,200,1.0,39.5,40,60,0,35.6,-3.9,-6.6,1.0,-4.9,37.4,21.2,100,3,0.0,41.0,19.2,1,0,0.0,-3.9,64.0,1.0,0.0,0,0,0,40,0,0,-147.555,38.489,40,0
2024-12-19 10:46:49.781037,5bc2f4a1-c0f1-4b04-90e7-b87bccbdc76a,KXHIGHNY-24DEC20-B39.5,133930.219,100,1.0,39.5,39,61,0,35.6,-3.9,-6.6,1.0,-4.9,37.4,21.2,100,3,0.0,41.0,19.2,1,0,0.0,-3.9,64.0,1.0,0.0,0,0,0,39,0,0,-142.879,37.956,39,0
2024-12-19 10:46:49.781037,5b0aa860-d4d7-4165-af8a-784140d23d6f,KXHIGHNY-24DEC20-B39.5,133930.219,100,1.0,39.5,38,62,0,35.6,-3.9,-6.6,1.0,-4.9,37.4,21.2,100,3,0.0,41.0,19.2,1,0,0.0,-3.9,64.0,1.0,0.0,0,0,0,38,0,0,-138.228,37.0,38,0
2024-12-19 10:48:31.995955,6bfacaec-4951-4e87-8bf5-0006309c16f3,KXHIGHNY-24DEC20-B41.5,133828.004,11,3.0,40.167,19,81,1,35.6,-5.9,-8.6,-1.0,-4.9,37.4,21.2,100,3,0.0,41.0,19.2,1,0,-1.333,-4.567,64.0,1.0,0.0,0,0,0,38,19,0,-194.173,-18.0,-19,0
2024-12-19 10:48:31.995955,1f503859-0865-411c-8489-484cd39beb2f,KXHIGHNY-24DEC20-B41.5,133828.004,11,3.0,40.143,18,82,1,35.6,-5.9,-8.6,-1.0,-4.9,37.4,21.2,100,3,0.0,41.0,19.2,1,0,-1.357,-4.543,64.0,1.0,0.0,0,0,0,38,18,0,-190.255,-17.0,-18,0
2024-12-19 10:51:50.322303,801d1ffe-af30-4484-9622-52cf70c99ad3,KXHIGHNY-24DEC20-B35.5,133629.678,48,-3.0,39.627,7,93,1,35.6,0.1,-2.6,5.0,-4.9,37.4,21.2,100,3,0.0,41.0,19.2,1,0,4.127,-4.027,64.0,1.0,0.0,0,7,0,38,18,0,-203.876,-6.0,-7,0
2024-12-19 10:51:50.322303,2531aa16-641b-4cf9-b01f-682583dcf65e,KXHIGHNY-24DEC20-B35.5,133629.678,100,-3.0,39.694,6,94,1,35.6,0.1,-2.6,5.0,-4.9,37.4,21.2,100,3,0.0,41.0,19.2,1,0,4.194,-4.094,64.0,1.0,0.0,0,6,0,38,18,0,-201.006,-5.0,-6,0
2024-12-19 11:19:17.053935,0f3ea7ef-5f81-47c1-a1bc-5ee1da44b83b,KXHIGHNY-24DEC20-B37.5,131982.946,200,-1.0,39.011,28,72,1,35.6,-1.9,-4.6,4.6,-6.5,37.4,21.2,100,3,0.0,32.0,17.6,0,0,1.511,-3.411,64.0,1.0,0.0,0,6,28,38,18,0,-294.307,71.0,72,1
2024-12-19 11:27:02.554810,2e57aa45-4ea3-4ec5-8f71-c25e7b22d19b,KXHIGHNY-24DEC20-B41.5,131517.445,29,3.0,39.142,23,77,0,35.6,-5.9,-8.6,0.6,-6.5,37.4,21.2,100,3,0.0,32.0,17.6,0,0,-2.358,-3.542,64.0,1.0,0.0,0,6,28,38,23,0,-314.397,22.0,23,0
2024-12-19 11:27:02.554810,e4479009-a274-489e-9e75-9a9322e5fb63,KXHIGHNY-24DEC20-B41.5,131517.445,100,3.0,39.167,24,76,0,35.6,-5.9,-8.6,0.6,-6.5,37.4,21.2,100,3,0.0,32.0,17.6,0,0,-2.333,-3.567,64.0,1.0,0.0,0,6,28,38,24,0,-318.554,23.0,24,0
