time,trade_id,ticker,time_to_strike,count,shift,kalshi_fair,yes_price,no_price,taker_side,day_forecast_high,day_forecast_strike_dev,current_forecast_strike_dev,day_current_forecast_dev,day_wind_gusts_max,day_wind_speed_max,day_cloud_cover_max,day_cloud_cover_min,day_sunshine_duration,hour_wind_gusts,hour_wind_speed,hour_cloud_cover,hour_cloud_cover_high,kalshi_strike_dev,kalshi_day_forecast_dev,day_forecast_percipitation,day_forecast_rain,hour_forecast_rain,strike_m_5.0,strike_m_3.0,strike_m_1.0,strike_p_1.0,strike_p_3.0,strike_p_5.0,impact,result,outcome
2025-01-23 10:12:37.303866,be1d1470-a559-45be-acd2-8f2bcf0256d1,KXHIGHNY-25JAN24-T34,135982.696,10,5.0,35.5,14,86,1,34.5,-1.0,-16.4,15.4,40.3,18.4,32,0,31925.57,7.9,3.3,96,92,0.0,-1.0,0.0,0.0,0.0,0,0,0,0,0,14,-13.0,-14,0
2025-01-23 10:12:37.793918,a5261c18-a810-4ef2-a1b7-84c9e2a4227e,KXHIGHNY-25JAN24-B29.5,135982.206,9,-1.0,32.86,11,89,0,34.5,5.0,-10.4,15.4,40.3,18.4,32,0,31925.57,7.9,3.3,96,92,3.36,1.64,0.0,0.0,0.0,0,0,11,0,0,14,10.0,11,0
2025-01-23 10:12:37.946295,7f76b7ae-2d86-4a9b-8e49-f40dd079f551,KXHIGHNY-25JAN24-B29.5,135982.054,38,-1.0,32.86,11,89,0,34.5,5.0,-10.4,15.4,40.3,18.4,32,0,31925.57,7.9,3.3,96,92,3.36,1.64,0.0,0.0,0.0,0,0,11,0,0,14,10.0,11,0
2025-01-23 10:12:38.383857,dcee9ef3-23a9-40c2-9891-c48e98012b17,KXHIGHNY-25JAN24-B33.5,135981.616,17,3.0,33.229,34,66,1,34.5,1.0,-14.4,15.4,40.3,18.4,32,0,31925.57,7.9,3.3,96,92,-0.271,1.271,0.0,0.0,0.0,0,0,11,0,34,14,65.0,66,1
2025-01-23 10:15:21.772563,730e4df4-936e-451f-a7f6-6e41cd7a8ca1,KXHIGHNY-25JAN24-B33.5,135818.227,19,3.0,33.25,39,61,0,34.5,1.0,-14.4,15.4,40.3,18.4,32,0,31925.57,7.9,3.3,96,92,-0.25,1.25,0.0,0.0,0.0,0,0,11,0,39,14,-60.0,-61,1
2025-01-23 10:15:23.794466,c3d4a030-f130-4c46-a0ff-23e07e49846c,KXHIGHNY-25JAN24-T34,135816.206,12,5.0,33.382,18,82,0,34.5,-1.0,-16.4,15.4,40.3,18.4,32,0,31925.57,7.9,3.3,96,92,-2.118,1.118,0.0,0.0,0.0,0,0,11,0,39,18,17.0,18,0
2025-01-23 10:20:45.351979,55f5633d-1aa7-48ff-8c61-c1a39c5ef723,KXHIGHNY-25JAN24-B29.5,135494.648,20,-1.0,33.562,8,92,0,34.5,5.0,-10.4,15.4,40.3,18.4,32,0,31925.57,7.9,3.3,96,92,4.062,0.938,0.0,0.0,0.0,0,0,8,0,39,18,7.0,8,0
2025-01-23 10:20:52.665020,bb1ea11a-0093-4c15-882f-d51d3616d5a3,KXHIGHNY-25JAN24-T34,135487.335,4,5.0,33.562,18,82,1,34.5,-1.0,-16.4,15.4,40.3,18.4,32,0,31925.57,7.9,3.3,96,92,-1.938,0.938,0.0,0.0,0.0,0,0,8,0,39,18,-17.0,-18,0
2025-01-23 10:21:37.588824,05723e6a-47c5-4a54-bf4d-04a06986deda,KXHIGHNY-25JAN24-T34,135442.411,4,5.0,33.562,18,82,1,34.5,-1.0,-16.4,15.4,40.3,18.4,32,0,31925.57,7.9,3.3,96,92,-1.938,0.938,0.0,0.0,0.0,0,0,8,0,39,18,-17.0,-18,0
2025-01-23 10:30:03.713355,c614ae87-7c39-4da2-bd9c-92afb84eea0c,KXHIGHNY-25JAN24-B33.5,134936.287,13,3.0,33.562,38,62,0,34.5,1.0,-14.4,15.4,40.3,18.4,32,0,31925.57,7.9,3.3,96,92,0.062,0.938,0.0,0.0,0.0,0,0,8,0,38,18,-61.0,-62,1
