time,trade_id,ticker,time_to_strike,count,shift,kalshi_fair,forecast,yes_price,no_price,taker_side,kalshi_strike_delta,forecast_strike_delta,kalshi_forecast_delta,strike_m_5.0,strike_m_3.0,strike_m_1.0,strike_p_1.0,strike_p_3.0,strike_p_5.0,entropy,impact,result,outcome
2025-03-23 10:04:05.998104,6e414cb0-18ec-4d38-a585-eaf90b04953f,KXHIGHNY-25MAR24-B56.5,136494.002,6,-1.0,56.5,47.85,61,39,1,0.0,-8.65,-8.65,0.0,0.0,61.0,0.0,0.0,0.0,-250.763,-60.0,-61,0
2025-03-23 10:06:19.857741,13582ffc-846d-4e6f-aba2-0a421014fe63,KXHIGHNY-25MAR24-B56.5,136360.142,14,-1.0,56.5,47.85,46,54,1,0.0,-8.65,-8.65,0.0,0.0,46.0,0.0,0.0,0.0,-176.118,-45.0,-46,0
2025-03-23 10:18:10.684280,f7d07943-b48b-4ca0-a872-ad180dcef4c3,KXHIGHNY-25MAR24-T54,135649.316,25,-5.0,54.994,47.85,25,75,1,2.494,-4.65,-7.144,25.0,0.0,41.4,0.0,0.0,0.0,-234.616,74.0,75,1
2025-03-23 10:18:10.684280,44b0f858-5619-4357-8204-078d6a0dc786,KXHIGHNY-25MAR24-T54,135649.316,10,-5.0,55.352,47.85,15,85,1,2.852,-4.65,-7.502,15.0,0.0,37.26,0.0,0.0,0.0,-175.424,84.0,85,1
2025-03-23 10:18:10.934080,5d6c8d58-2b4f-43fa-bf9d-626f12111ad0,KXHIGHNY-25MAR24-B58.5,135649.066,10,1.0,55.76,47.85,7,93,0,-2.74,-10.65,-7.91,13.5,0.0,33.534,7.0,0.0,0.0,-166.548,6.0,7,0
2025-03-23 10:18:10.936588,3633ae6b-cf2d-44c4-8c36-a52275fbc91f,KXHIGHNY-25MAR24-B54.5,135649.063,10,-3.0,55.269,47.85,31,69,0,0.769,-6.65,-7.419,12.15,31.0,30.181,6.3,0.0,0.0,-251.223,30.0,31,0
2025-03-23 10:18:10.978746,ba0e4dcc-b3a3-4c4f-af40-4f8df5761f50,KXHIGHNY-25MAR24-B56.5,135649.021,5,-1.0,55.174,47.85,22,78,0,-1.326,-8.65,-7.324,10.935,27.9,22.0,5.67,0.0,0.0,-196.866,21.0,22,0
2025-03-23 10:18:10.978746,a5fea629-fe78-42a3-9a7a-30536ca75354,KXHIGHNY-25MAR24-B56.5,135649.021,5,-1.0,55.221,47.85,22,78,0,-1.279,-8.65,-7.371,9.842,25.11,22.0,5.103,0.0,0.0,-179.76,21.0,22,0
2025-03-23 10:18:10.980040,ff93d2b2-92a1-4c83-b2f6-4d46c0016fc5,KXHIGHNY-25MAR24-T54,135649.02,10,-5.0,54.02,47.85,53,47,0,1.52,-4.65,-6.17,53.0,22.599,19.8,4.593,0.0,0.0,-347.005,-45.408,-47,1
2025-03-23 10:18:11.112971,9c51a66b-d776-4e44-ae25-35dce5e48476,KXHIGHNY-25MAR24-B56.5,135648.887,9,-1.0,54.13,47.85,22,78,0,-2.37,-8.65,-6.28,47.7,20.339,22.0,4.133,0.0,0.0,-319.498,21.0,22,0
2025-03-23 10:18:11.184953,c562acb7-1e84-403c-a26b-01b999e0b427,KXHIGHNY-25MAR24-B56.5,135648.815,26,-1.0,54.19,47.85,22,78,0,-2.31,-8.65,-6.34,42.93,18.305,22.0,3.72,0.0,0.0,-287.505,21.0,22,0
2025-03-23 10:18:11.241507,a8f6c67a-a4cc-4b54-b477-18fc558254f0,KXHIGHNY-25MAR24-T54,135648.758,10,-5.0,53.959,47.85,51,49,0,1.459,-4.65,-6.109,51.0,16.475,19.8,3.348,0.0,0.0,-309.845,-47.425,-49,1
2025-03-23 10:18:11.316260,8e2db539-5c91-4457-825e-1319ca7f7ac3,KXHIGHNY-25MAR24-B58.5,135648.684,39,1.0,54.171,47.85,7,93,0,-4.329,-10.65,-6.321,45.9,14.827,17.82,7.0,0.0,0.0,-280.564,6.0,7,0
2025-03-23 10:18:11.433801,3284395a-0c1e-4fb2-9bfa-287afdf37411,KXHIGHNY-25MAR24-B58.5,135648.566,1,1.0,54.21,47.85,7,93,0,-4.29,-10.65,-6.36,41.31,13.344,16.038,7.0,0.0,0.0,-246.422,6.0,7,0
2025-03-23 10:18:11.724273,9c95b470-9237-4188-b882-3fee46e4224f,KXHIGHNY-25MAR24-T54,135648.276,26,-5.0,53.928,47.85,51,49,0,1.428,-4.65,-6.078,51.0,12.01,14.434,6.3,0.0,0.0,-280.506,-47.193,-49,1
2025-03-23 10:18:12.679573,684bf3e8-b54a-4499-9ca1-8fef1e8544dd,KXHIGHNY-25MAR24-B56.5,135647.32,40,-1.0,53.962,47.85,14,86,1,-2.538,-8.65,-6.112,45.9,10.809,14.0,5.67,0.0,0.0,-248.15,-13.0,-14,0
2025-03-23 10:19:11.964867,89db9d0f-63de-419b-ae7c-141b79709ffb,KXHIGHNY-25MAR24-T54,135588.035,23,-5.0,53.765,47.85,52,48,0,1.265,-4.65,-5.915,52.0,9.728,12.6,5.103,0.0,0.0,-267.838,-46.88,-48,1
2025-03-23 10:19:12.637433,31279499-0639-4776-85b9-4504cd2123bd,KXHIGHNY-25MAR24-B56.5,135587.363,36,-1.0,53.827,47.85,13,87,1,-2.673,-8.65,-5.977,46.8,8.755,13.0,4.593,0.0,0.0,-239.329,-12.0,-13,0
2025-03-23 10:20:28.597528,d401f8be-e712-4217-b710-eaba5107b6ec,KXHIGHNY-25MAR24-T54,135511.402,25,-5.0,53.669,47.85,51,49,0,1.169,-4.65,-5.819,51.0,7.88,11.7,4.133,0.0,0.0,-251.432,-47.893,-49,1
2025-03-23 10:20:30.305004,a5e4ad47-a428-4da5-a15f-b3604a47f6aa,KXHIGHNY-25MAR24-T54,135509.695,32,-5.0,53.587,47.85,51,49,0,1.087,-4.65,-5.737,51.0,7.092,10.53,3.72,0.0,0.0,-244.093,-47.902,-49,1
2025-03-23 10:58:02.827606,76cccf94-583a-478c-9f8b-be118cd62392,KXHIGHNY-25MAR24-T54,133257.172,43,-5.0,53.508,47.85,51,49,0,1.008,-4.65,-5.658,51.0,6.383,9.477,3.348,0.0,0.0,-237.712,-47.902,-49,1
2025-03-23 10:58:03.119928,c42c346d-acc5-45ed-8b6f-20d131eca81c,KXHIGHNY-25MAR24-B54.5,133256.88,43,-3.0,53.791,47.85,31,69,0,-0.709,-6.65,-5.941,45.9,31.0,8.529,3.013,0.0,0.0,-303.695,30.0,31,0
2025-03-23 11:08:55.977788,3738afcc-c967-4507-9a70-9a2ca8819d29,KXHIGHNY-25MAR24-B54.5,132604.022,13,-3.0,53.857,47.85,36,64,1,-0.643,-6.65,-6.007,41.31,36.0,7.676,2.712,0.0,0.0,-301.077,-35.0,-36,0
2025-03-23 12:09:26.447710,8b901a62-52c6-4b59-97f0-70f9a187c477,KXHIGHNY-25MAR24-B54.5,128973.552,14,-3.0,53.845,47.85,31,69,0,-0.655,-6.65,-5.995,37.179,31.0,6.909,2.441,0.0,0.0,-256.414,30.0,31,0
2025-03-23 12:55:34.110624,4fc86b45-5d88-4276-a20a-5ff4893219f9,KXHIGHNY-25MAR24-B54.5,126205.889,7,-3.0,53.913,47.85,36,64,1,-0.587,-6.65,-6.063,33.461,36.0,6.218,2.197,0.0,0.0,-259.559,-35.0,-36,0
2025-03-23 15:22:11.352895,faeb975c-dde3-4c99-a112-25bb7e05cf97,KXHIGHNY-25MAR24-T54,117408.647,77,-5.0,53.577,47.85,52,48,0,1.077,-4.65,-5.727,52.0,32.4,5.596,1.977,0.0,0.0,-329.141,-46.908,-48,1
2025-03-23 15:22:11.422829,99ce7142-a8ec-461e-952e-e6e82210eace,KXHIGHNY-25MAR24-T54,117408.577,48,-5.0,53.513,47.85,52,48,0,1.013,-4.65,-5.663,52.0,29.16,5.036,1.779,0.0,0.0,-312.983,-46.909,-48,1
2025-03-23 15:35:52.111137,438bdff6-53e2-4723-824b-f178f456e31e,KXHIGHNY-25MAR24-T54,116587.889,10,-5.0,53.55,47.85,44,56,1,1.05,-4.65,-5.7,44.0,26.244,4.533,1.601,0.0,0.0,-259.86,54.918,56,1
2025-03-23 15:35:52.111137,35e5067f-8eee-4c4f-849b-79d5918e9462,KXHIGHNY-25MAR24-T54,116587.889,69,-5.0,53.487,47.85,44,56,1,0.987,-4.65,-5.637,44.0,23.62,4.08,1.441,0.0,0.0,-247.454,54.915,56,1
2025-03-23 15:37:06.304939,f150f2be-f800-4354-8395-c504e2531bcc,KXHIGHNY-25MAR24-T54,116513.695,13,-5.0,53.425,47.85,44,56,1,0.925,-4.65,-5.575,44.0,21.258,3.672,1.297,0.0,0.0,-236.596,54.918,56,1
