time,temperature_2m_max_bom_access_global,daylight_duration_bom_access_global,precipitation_hours_bom_access_global,precipitation_probability_max_bom_access_global,wind_speed_10m_max_bom_access_global,temperature_2m_max_cma_grapes_global,daylight_duration_cma_grapes_global,precipitation_hours_cma_grapes_global,precipitation_probability_max_cma_grapes_global,wind_speed_10m_max_cma_grapes_global,temperature_2m_max_ecmwf_ifs025,daylight_duration_ecmwf_ifs025,precipitation_hours_ecmwf_ifs025,precipitation_probability_max_ecmwf_ifs025,wind_speed_10m_max_ecmwf_ifs025,temperature_2m_max_best_match,daylight_duration_best_match,precipitation_hours_best_match,precipitation_probability_max_best_match,wind_speed_10m_max_best_match,temperature_2m_max_knmi_seamless,daylight_duration_knmi_seamless,precipitation_hours_knmi_seamless,precipitation_probability_max_knmi_seamless,wind_speed_10m_max_knmi_seamless,temperature_2m_max_dmi_seamless,daylight_duration_dmi_seamless,precipitation_hours_dmi_seamless,precipitation_probability_max_dmi_seamless,wind_speed_10m_max_dmi_seamless,temperature_2m_max_gfs_seamless,daylight_duration_gfs_seamless,precipitation_hours_gfs_seamless,precipitation_probability_max_gfs_seamless,wind_speed_10m_max_gfs_seamless,forecast
2024-08-11,99.0,47980.32,0.0,0,20.2,96.2,47982.42,0.0,0,16.1,96.4,47993.64,0.0,0,18.0,96.5,47982.71,0.0,0.0,17.9,96.4,47993.64,0.0,0,18.0,96.4,47993.64,0.0,0,18.0,96.5,47982.71,0.0,0.0,17.9,96.5
2024-08-12,99.5,47887.29,3.0,0,19.1,98.5,47889.35,0.0,0,19.1,97.6,47900.34,3.0,0,17.5,96.6,47889.64,0.0,0.0,16.8,97.6,47900.34,3.0,0,17.5,97.6,47900.34,3.0,0,17.5,96.6,47889.64,0.0,0.0,16.8,96.6
2024-08-13,99.4,47793.56,2.0,0,19.4,96.9,47795.57,0.0,0,18.4,95.1,47806.31,0.0,0,17.0,96.3,47795.86,0.0,0.0,17.4,95.1,47806.31,0.0,0,17.0,95.1,47806.31,0.0,0,17.0,96.3,47795.86,0.0,0.0,17.4,96.3
2024-08-14,97.2,47699.2,5.0,0,19.4,96.6,47701.16,0.0,0,18.1,96.9,47711.66,0.0,0,17.3,96.9,47701.45,0.0,0.0,20.7,96.9,47711.66,0.0,0,17.3,96.9,47711.66,0.0,0,17.3,96.9,47701.45,0.0,0.0,20.7,96.9
2024-08-15,101.1,47604.28,1.0,0,24.5,97.8,47606.2,0.0,0,17.7,98.3,47616.46,0.0,0,17.8,97.4,47606.47,0.0,0.0,17.4,98.3,47616.46,0.0,0,17.8,98.3,47616.46,0.0,0,17.8,97.4,47606.47,0.0,0.0,17.4,97.4
2024-08-16,100.6,47508.88,0.0,0,18.4,98.1,47510.76,0.0,0,17.1,98.6,47520.77,0.0,0,17.0,97.9,47511.02,0.0,0.0,16.9,98.6,47520.77,0.0,0,17.0,98.6,47520.77,0.0,0,17.0,97.9,47511.02,0.0,0.0,16.9,97.9
2024-08-17,99.6,47413.08,2.0,0,15.8,97.4,47414.91,0.0,0,15.1,98.2,47424.68,0.0,0,14.7,98.1,47415.17,0.0,0.0,13.4,98.2,47424.68,0.0,0,14.7,98.2,47424.68,0.0,0,14.7,98.1,47415.17,0.0,0.0,13.4,98.1
2024-08-18,101.0,47316.95,0.0,0,13.0,98.3,47318.73,0.0,0,13.7,99.0,47328.25,0.0,0,11.5,99.3,47318.99,0.0,0.0,13.8,99.0,47328.25,0.0,0,11.5,99.0,47328.25,0.0,0,11.5,99.3,47318.99,0.0,0.0,13.8,99.3
2024-08-19,102.7,47220.56,0.0,0,13.7,99.6,47222.3,0.0,0,14.3,100.4,47231.57,0.0,0,12.9,100.7,47222.55,0.0,0.0,10.5,100.4,47231.57,0.0,0,12.9,100.4,47231.57,0.0,0,12.9,100.7,47222.55,0.0,0.0,10.5,100.7
2024-08-20,105.2,47123.76,0.0,0,12.2,101.8,47125.45,0.0,0,13.1,104.2,47134.48,0.0,0,14.3,103.4,47125.69,0.0,0.0,11.0,104.2,47134.48,0.0,0,14.3,104.2,47134.48,0.0,0,14.3,103.4,47125.69,0.0,0.0,11.0,103.4
