time,temperature_2m,apparent_temperature,precipitation_probability,precipitation,rain,showers,snowfall,cloud_cover_high,cloud_cover,wind_speed_10m,wind_gusts_10m,cloud_cover_mid
2024-07-31T00:00,83.8,92.1,0.0,0.0,0.0,0.0,0.0,0,14,13.8,37.4,0
2024-07-31T01:00,82.7,91.0,0.0,0.0,0.0,0.0,0.0,0,100,11.2,37.4,0
2024-07-31T02:00,82.3,90.6,0.0,0.0,0.0,0.0,0.0,0,100,11.0,43.6,0
2024-07-31T03:00,81.3,89.8,0.0,0.0,0.0,0.0,0.0,0,100,11.3,42.1,0
2024-07-31T04:00,80.5,88.3,0.0,0.0,0.0,0.0,0.0,0,100,12.0,42.1,0
2024-07-31T05:00,80.1,88.7,0.0,0.0,0.0,0.0,0.0,0,6,9.1,41.0,0
2024-07-31T06:00,79.1,87.8,0.0,0.0,0.0,0.0,0.0,0,99,8.4,36.4,0
2024-07-31T07:00,79.1,87.7,0.0,0.0,0.0,0.0,0.0,0,62,7.8,31.3,0
2024-07-31T08:00,78.5,86.3,0.0,0.0,0.0,0.0,0.0,0,67,8.7,32.4,0
2024-07-31T09:00,78.4,87.1,0.0,0.0,0.0,0.0,0.0,0,99,8.8,35.3,0
2024-07-31T10:00,79.6,86.8,0.0,0.0,0.0,0.0,0.0,0,8,13.0,35.6,0
2024-07-31T11:00,82.9,89.2,0.0,0.0,0.0,0.0,0.0,0,17,17.3,37.4,0
2024-07-31T12:00,86.8,93.5,0.0,0.0,0.0,0.0,0.0,0,28,17.7,35.3,0
2024-07-31T13:00,90.2,99.6,0.0,0.0,0.0,0.0,0.0,0,25,17.3,38.5,0
2024-07-31T14:00,93.0,103.5,0.0,0.0,0.0,0.0,0.0,0,12,18.0,36.7,0
2024-07-31T15:00,93.8,103.3,0.0,0.0,0.0,0.0,0.0,0,3,18.7,35.6,0
2024-07-31T16:00,95.3,104.9,0.0,0.0,0.0,0.0,0.0,0,4,19.0,35.6,0
2024-07-31T17:00,96.3,106.1,0.0,0.0,0.0,0.0,0.0,0,0,17.8,32.4,0
2024-07-31T18:00,92.8,100.8,0.0,0.0,0.0,0.0,0.0,0,4,15.2,31.3,0
2024-07-31T19:00,93.7,97.9,0.0,0.0,0.0,0.0,0.0,0,6,19.6,31.0,0
2024-07-31T20:00,92.7,96.8,0.0,0.0,0.0,0.0,0.0,0,3,17.7,28.4,0
2024-07-31T21:00,90.4,93.7,0.0,0.0,0.0,0.0,0.0,0,17,15.2,31.3,0
2024-07-31T22:00,86.6,91.8,0.0,0.0,0.0,0.0,0.0,0,0,9.7,34.2,0
2024-07-31T23:00,81.8,86.1,0.0,0.0,0.0,0.0,0.0,0,0,9.4,36.7,0
