time,temperature_2m_max_bom_access_global,daylight_duration_bom_access_global,precipitation_hours_bom_access_global,precipitation_probability_max_bom_access_global,wind_speed_10m_max_bom_access_global,temperature_2m_max_cma_grapes_global,daylight_duration_cma_grapes_global,precipitation_hours_cma_grapes_global,precipitation_probability_max_cma_grapes_global,wind_speed_10m_max_cma_grapes_global,temperature_2m_max_ecmwf_ifs025,daylight_duration_ecmwf_ifs025,precipitation_hours_ecmwf_ifs025,precipitation_probability_max_ecmwf_ifs025,wind_speed_10m_max_ecmwf_ifs025,temperature_2m_max_best_match,daylight_duration_best_match,precipitation_hours_best_match,precipitation_probability_max_best_match,wind_speed_10m_max_best_match,temperature_2m_max_knmi_seamless,daylight_duration_knmi_seamless,precipitation_hours_knmi_seamless,precipitation_probability_max_knmi_seamless,wind_speed_10m_max_knmi_seamless,temperature_2m_max_dmi_seamless,daylight_duration_dmi_seamless,precipitation_hours_dmi_seamless,precipitation_probability_max_dmi_seamless,wind_speed_10m_max_dmi_seamless,temperature_2m_max_gfs_seamless,daylight_duration_gfs_seamless,precipitation_hours_gfs_seamless,precipitation_probability_max_gfs_seamless,wind_speed_10m_max_gfs_seamless,forecast
2024-08-11,77.0,50409.6,0.0,0,13.7,75.9,50418.33,0.0,0,15.5,78.4,50402.82,0.0,0,15.7,78.8,50410.5,0.0,0.0,16.9,78.4,50402.82,0.0,0,15.7,78.4,50402.82,0.0,0,15.7,78.8,50410.5,0.0,0.0,16.9,78.8
2024-08-12,78.3,50264.17,0.0,0,10.4,75.9,50272.7,0.0,0,7.4,80.0,50257.55,0.0,0,9.3,80.0,50265.05,0.0,0.0,9.5,80.0,50257.55,0.0,0,9.3,80.0,50257.55,0.0,0,9.3,80.0,50265.05,0.0,0.0,9.5,80.0
2024-08-13,82.0,50117.74,0.0,0,9.4,81.1,50126.08,0.0,0,8.6,82.4,50111.27,3.0,0,8.7,83.6,50118.6,0.0,0.0,11.6,82.4,50111.27,3.0,0,8.7,82.4,50111.27,3.0,0,8.7,83.6,50118.6,0.0,0.0,11.6,83.6
2024-08-14,83.1,49970.44,0.0,0,12.6,82.3,49978.59,0.0,0,12.5,83.8,49964.11,0.0,0,14.2,84.8,49971.28,0.0,0.0,14.9,83.8,49964.11,0.0,0,14.2,83.8,49964.11,0.0,0,14.2,84.8,49971.28,0.0,0.0,14.9,84.8
2024-08-15,77.8,49822.38,15.0,0,16.9,74.3,49830.34,18.0,0,22.3,74.8,49816.2,21.0,0,21.6,74.1,49823.2,11.0,0.0,16.4,74.8,49816.2,21.0,0,21.6,74.8,49816.2,21.0,0,21.6,74.1,49823.2,11.0,0.0,16.4,74.1
2024-08-16,86.9,49673.68,9.0,0,17.3,85.2,49681.44,6.0,0,17.8,85.8,49667.65,12.0,0,18.5,83.6,49674.48,3.0,0.0,18.6,85.8,49667.65,12.0,0,18.5,85.8,49667.65,12.0,0,18.5,83.6,49674.48,3.0,0.0,18.6,83.6
2024-08-17,78.5,49524.46,12.0,0,14.0,80.2,49532.03,3.0,0,18.0,79.6,49518.58,12.0,0,18.2,78.7,49525.24,2.0,0.0,11.7,79.6,49518.58,12.0,0,18.2,79.6,49518.58,12.0,0,18.2,78.7,49525.24,2.0,0.0,11.7,78.7
2024-08-18,76.7,49374.83,1.0,0,19.1,77.2,49382.21,6.0,0,23.7,74.5,49369.1,6.0,0,22.0,76.6,49375.59,0.0,0.0,21.3,74.5,49369.1,6.0,0,22.0,74.5,49369.1,6.0,0,22.0,76.6,49375.59,0.0,0.0,21.3,76.6
2024-08-19,73.9,49224.91,0.0,0,22.0,74.9,49232.09,0.0,0,25.1,72.8,49219.33,0.0,0,23.3,75.5,49225.64,0.0,0.0,24.1,72.8,49219.33,0.0,0,23.3,72.8,49219.33,0.0,0,23.3,75.5,49225.64,0.0,0.0,24.1,75.5
2024-08-20,69.4,49074.43,0.0,0,14.4,70.4,49081.42,0.0,0,15.5,69.1,49069.01,0.0,0,16.8,71.4,49075.15,0.0,0.0,16.6,69.1,49069.01,0.0,0,16.8,69.1,49069.01,0.0,0,16.8,71.4,49075.15,0.0,0.0,16.6,71.4
