time,temperature_2m,apparent_temperature,precipitation_probability,precipitation,rain,showers,snowfall,cloud_cover_high,cloud_cover,wind_speed_10m,wind_gusts_10m,cloud_cover_mid
2025-01-19T00:00,19.7,9.0,0,0.0,0.0,0.0,0.0,0,6,15.3,34.2,6
2025-01-19T01:00,17.8,6.5,0,0.0,0.0,0.0,0.0,0,37,17.3,32.8,37
2025-01-19T02:00,16.2,4.8,0,0.0,0.0,0.0,0.0,0,99,17.4,32.8,99
2025-01-19T03:00,14.0,1.7,0,0.0,0.0,0.0,0.0,0,99,20.5,37.8,99
2025-01-19T04:00,12.3,0.5,0,0.0,0.0,0.0,0.0,0,98,18.8,36.4,98
2025-01-19T05:00,11.0,-1.1,0,0.0,0.0,0.0,0.0,0,98,19.9,37.1,98
2025-01-19T06:00,9.7,-2.2,0,0.0,0.0,0.0,0.0,0,97,19.3,35.6,97
2025-01-19T07:00,8.9,-2.4,0,0.0,0.0,0.0,0.0,0,99,16.9,30.2,99
2025-01-19T08:00,8.0,-3.5,0,0.0,0.0,0.0,0.0,0,99,17.6,28.1,99
2025-01-19T09:00,6.9,-4.5,0,0.0,0.0,0.0,0.0,0,82,17.1,27.7,66
2025-01-19T10:00,6.8,-4.6,0,0.0,0.0,0.0,0.0,0,99,17.1,24.5,61
2025-01-19T11:00,6.5,-5.1,1,0.0,0.0,0.0,0.0,0,99,17.8,24.8,95
2025-01-19T12:00,7.0,-4.4,0,0.0,0.0,0.0,0.0,0,44,17.3,23.4,24
2025-01-19T13:00,7.2,-4.8,0,0.0,0.0,0.0,0.0,0,75,19.5,25.9,75
2025-01-19T14:00,8.5,-3.1,0,0.0,0.0,0.0,0.0,0,92,18.0,23.0,0
2025-01-19T15:00,9.2,-2.9,0,0.0,0.0,0.0,0.0,0,100,20.1,25.2,0
2025-01-19T16:00,9.3,-2.5,0,0.0,0.0,0.0,0.0,0,99,18.7,24.5,0
2025-01-19T17:00,9.2,-2.4,0,0.0,0.0,0.0,0.0,0,100,17.8,25.2,0
2025-01-19T18:00,8.3,-3.4,0,0.0,0.0,0.0,0.0,0,75,18.0,25.2,0
2025-01-19T19:00,7.2,-4.3,0,0.0,0.0,0.0,0.0,0,100,16.9,28.8,0
2025-01-19T20:00,6.3,-5.5,0,0.0,0.0,0.0,0.0,0,54,18.2,27.0,0
2025-01-19T21:00,5.9,-4.9,0,0.0,0.0,0.0,0.0,0,83,14.3,29.9,0
2025-01-19T22:00,4.7,-6.4,0,0.0,0.0,0.0,0.0,0,3,15.7,31.3,0
2025-01-19T23:00,3.3,-8.2,0,0.0,0.0,0.0,0.0,0,4,16.8,31.7,0
2025-01-20T00:00,2.5,-9.3,0,0.0,0.0,0.0,0.0,0,76,18.0,29.9,0
2025-01-20T01:00,1.6,-8.9,0,0.0,0.0,0.0,0.0,0,99,13.2,30.6,0
2025-01-20T02:00,1.5,-9.9,0,0.0,0.0,0.0,0.0,0,5,16.6,28.8,0
2025-01-20T03:00,0.6,-10.5,0,0.0,0.0,0.0,0.0,0,7,15.2,31.7,0
2025-01-20T04:00,0.1,-10.5,0,0.0,0.0,0.0,0.0,0,0,13.1,29.5,0
2025-01-20T05:00,-0.6,-11.4,0,0.0,0.0,0.0,0.0,0,3,14.2,27.0,0
2025-01-20T06:00,-1.6,-12.4,0,0.0,0.0,0.0,0.0,0,5,14.4,30.6,0
2025-01-20T07:00,-1.8,-13.1,0,0.0,0.0,0.0,0.0,0,4,15.9,34.2,0
2025-01-20T08:00,-2.0,-12.8,0,0.0,0.0,0.0,0.0,0,1,13.9,32.0,0
2025-01-20T09:00,-2.5,-13.1,0,0.0,0.0,0.0,0.0,0,4,13.7,35.3,0
2025-01-20T10:00,-1.1,-12.4,0,0.0,0.0,0.0,0.0,0,2,16.1,36.0,0
2025-01-20T11:00,1.3,-9.8,0,0.0,0.0,0.0,0.0,0,3,15.7,33.5,0
2025-01-20T12:00,4.9,-7.2,0,0.0,0.0,0.0,0.0,0,42,19.6,33.5,0
2025-01-20T13:00,7.1,-5.6,0,0.0,0.0,0.0,0.0,0,95,21.5,37.1,0
2025-01-20T14:00,8.7,-4.3,0,0.0,0.0,0.0,0.0,0,99,22.7,41.8,0
2025-01-20T15:00,10.1,-3.6,0,0.0,0.0,0.0,0.0,0,99,25.6,38.2,0
2025-01-20T16:00,11.1,-2.2,0,0.0,0.0,0.0,0.0,0,99,24.4,43.2,0
2025-01-20T17:00,11.2,-2.5,0,0.0,0.0,0.0,0.0,0,99,25.4,39.6,0
2025-01-20T18:00,10.1,-2.8,0,0.0,0.0,0.0,0.0,0,99,22.4,38.9,0
2025-01-20T19:00,8.3,-4.5,0,0.0,0.0,0.0,0.0,0,96,22.0,36.4,0
2025-01-20T20:00,7.6,-4.6,0,0.0,0.0,0.0,0.0,0,4,19.8,39.2,0
2025-01-20T21:00,7.3,-3.0,0,0.0,0.0,0.0,0.0,0,4,12.2,33.1,0
2025-01-20T22:00,6.4,-3.4,0,0.0,0.0,0.0,0.0,0,99,10.3,26.3,0
2025-01-20T23:00,5.8,-5.1,0,0.0,0.0,0.0,0.0,0,100,14.9,23.4,0
2025-01-21T00:00,4.3,-7.4,0,0.0,0.0,0.0,0.0,0,96,18.1,25.9,0
2025-01-21T01:00,2.9,-8.5,0,0.0,0.0,0.0,0.0,0,99,17.1,27.0,0
2025-01-21T02:00,0.8,-10.7,0,0.0,0.0,0.0,0.0,0,100,17.1,26.6,0
2025-01-21T03:00,-0.8,-12.5,0,0.0,0.0,0.0,0.0,0,90,17.5,25.9,0
2025-01-21T04:00,-2.0,-12.8,0,0.0,0.0,0.0,0.0,0,12,13.7,23.0,0
2025-01-21T05:00,-3.1,-15.1,0,0.0,0.0,0.0,0.0,0,0,18.4,30.6,0
2025-01-21T06:00,-4.7,-16.7,0,0.0,0.0,0.0,0.0,0,3,18.2,29.9,0
2025-01-21T07:00,-6.0,-17.8,0,0.0,0.0,0.0,0.0,0,5,17.7,29.9,0
2025-01-21T08:00,-6.9,-18.3,0,0.0,0.0,0.0,0.0,0,25,15.9,24.5,0
2025-01-21T09:00,-7.3,-18.6,0,0.0,0.0,0.0,0.0,0,96,15.4,23.4,0
2025-01-21T10:00,-7.4,-19.0,0,0.0,0.0,0.0,0.0,0,68,16.7,25.2,0
2025-01-21T11:00,-6.6,-18.9,0,0.0,0.0,0.0,0.0,0,70,19.5,27.0,0
2025-01-21T12:00,-4.5,-16.6,0,0.0,0.0,0.0,0.0,0,95,18.8,28.4,0
2025-01-21T13:00,-2.5,-15.1,0,0.0,0.0,0.0,0.0,0,53,20.6,27.4,0
2025-01-21T14:00,-1.3,-13.9,0,0.0,0.0,0.0,0.0,0,47,20.7,26.6,0
2025-01-21T15:00,-0.7,-13.0,0,0.0,0.0,0.0,0.0,0,46,19.3,26.6,0
2025-01-21T16:00,0.2,-12.1,0,0.0,0.0,0.0,0.0,0,61,19.4,27.0,0
2025-01-21T17:00,0.9,-11.6,0,0.0,0.0,0.0,0.0,0,44,20.0,27.4,0
2025-01-21T18:00,0.1,-12.0,0,0.0,0.0,0.0,0.0,0,55,18.8,26.3,0
2025-01-21T19:00,-1.4,-12.7,0,0.0,0.0,0.0,0.0,0,23,15.8,24.8,0
2025-01-21T20:00,-1.5,-12.3,0,0.0,0.0,0.0,0.0,0,6,13.9,26.6,0
2025-01-21T21:00,-1.7,-11.9,0,0.0,0.0,0.0,0.0,0,12,11.2,27.4,0
2025-01-21T22:00,-2.0,-12.2,0,0.0,0.0,0.0,0.0,0,86,11.5,32.0,0
2025-01-21T23:00,-1.5,-11.1,0,0.0,0.0,0.0,0.0,0,84,9.7,36.7,0
2025-01-22T00:00,-1.0,-12.2,0,0.0,0.0,0.0,0.0,0,97,15.4,37.1,97
2025-01-22T01:00,-1.4,-12.7,0,0.0,0.0,0.0,0.0,0,95,16.2,38.5,0
2025-01-22T02:00,-1.6,-13.0,0,0.0,0.0,0.0,0.0,0,87,16.6,43.9,0
2025-01-22T03:00,-1.5,-12.8,0,0.0,0.0,0.0,0.0,0,1,16.3,45.4,0
2025-01-22T04:00,-0.8,-12.8,0,0.0,0.0,0.0,0.0,0,7,18.5,47.2,0
2025-01-22T05:00,-0.0,-11.8,0,0.0,0.0,0.0,0.0,0,2,17.8,52.6,0
2025-01-22T06:00,2.0,-9.5,2,0.0,0.0,0.0,0.0,54,99,17.0,52.2,99
2025-01-22T07:00,3.6,-8.2,2,0.0,0.0,0.0,0.0,2,99,18.4,54.4,99
2025-01-22T08:00,5.3,-6.7,2,0.0,0.0,0.0,0.0,58,99,19.4,64.1,99
2025-01-22T09:00,7.1,-4.1,2,0.0,0.0,0.0,0.0,87,99,16.2,59.8,99
2025-01-22T10:00,8.4,-3.1,3,0.0,0.0,0.0,0.0,13,100,18.1,64.1,100
2025-01-22T11:00,10.3,-2.1,4,0.0,0.0,0.0,0.0,15,99,21.5,60.8,99
2025-01-22T12:00,12.1,-0.7,4,0.0,0.0,0.0,0.0,6,100,24.0,55.4,99
2025-01-22T13:00,12.7,0.9,11,0.2,0.0,0.0,0.14,0,99,21.0,55.4,99
2025-01-22T14:00,16.1,4.6,12,0.1,0.0,0.0,0.07,0,99,19.5,43.6,99
2025-01-22T15:00,20.3,8.5,4,0.0,0.0,0.0,0.0,0,99,20.9,40.3,99
2025-01-22T16:00,21.8,9.8,3,0.0,0.0,0.0,0.0,0,49,22.6,41.4,49
2025-01-22T17:00,22.5,11.5,3,0.0,0.0,0.0,0.0,0,99,18.4,36.0,99
2025-01-22T18:00,22.4,11.8,3,0.0,0.0,0.0,0.0,0,100,16.8,36.0,99
2025-01-22T19:00,21.2,13.8,7,0.0,0.0,0.0,0.0,0,99,6.8,34.2,99
2025-01-22T20:00,21.9,14.1,6,0.0,0.0,0.0,0.0,0,99,7.2,35.6,99
2025-01-22T21:00,22.7,12.6,7,0.0,0.0,0.0,0.0,0,99,16.4,42.1,99
2025-01-22T22:00,22.2,13.2,8,0.0,0.0,0.0,0.0,0,79,12.4,40.0,12
2025-01-22T23:00,21.5,12.4,8,0.0,0.0,0.0,0.0,0,90,12.4,34.9,33
2025-01-23T00:00,21.6,12.3,7,0.0,0.0,0.0,0.0,0,99,14.1,37.8,99
2025-01-23T01:00,21.0,12.5,9,0.2,0.2,0.0,0.0,0,80,11.2,40.3,80
2025-01-23T02:00,21.2,11.9,6,0.0,0.0,0.0,0.0,0,99,14.4,41.0,40
2025-01-23T03:00,22.7,13.2,11,0.2,0.1,0.0,0.07,0,100,15.5,38.2,99
2025-01-23T04:00,22.5,13.5,5,0.0,0.0,0.0,0.0,0,79,14.2,39.2,51
2025-01-23T05:00,22.8,14.8,4,0.0,0.0,0.0,0.0,0,93,10.3,31.3,0
2025-01-23T06:00,22.7,14.2,1,0.0,0.0,0.0,0.0,0,94,11.5,26.3,0
2025-01-23T07:00,23.1,15.2,0,0.0,0.0,0.0,0.0,0,100,9.4,31.7,0
2025-01-23T08:00,24.7,15.5,0,0.0,0.0,0.0,0.0,0,100,15.0,36.0,0
2025-01-23T09:00,23.3,13.7,5,0.1,0.0,0.0,0.07,0,100,16.6,28.8,0
2025-01-23T10:00,21.2,12.6,3,0.0,0.0,0.0,0.0,0,28,11.5,25.9,0
2025-01-23T11:00,19.9,10.0,2,0.0,0.0,0.0,0.0,0,74,15.5,26.3,0
2025-01-23T12:00,19.7,9.4,0,0.0,0.0,0.0,0.0,0,99,16.1,24.1,0
2025-01-23T13:00,18.8,8.9,0,0.0,0.0,0.0,0.0,0,40,14.6,19.4,0
2025-01-23T14:00,20.2,9.6,0,0.0,0.0,0.0,0.0,0,15,17.6,26.3,0
2025-01-23T15:00,20.8,9.9,0,0.0,0.0,0.0,0.0,0,27,17.8,23.4,0
2025-01-23T16:00,21.0,10.4,0,0.0,0.0,0.0,0.0,0,7,16.3,22.0,0
2025-01-23T17:00,20.0,9.5,0,0.0,0.0,0.0,0.0,0,28,15.9,20.5,0
2025-01-23T18:00,19.0,8.5,0,0.0,0.0,0.0,0.0,0,17,15.4,21.2,0
2025-01-23T19:00,16.8,6.4,0,0.0,0.0,0.0,0.0,0,19,14.6,22.3,0
2025-01-23T20:00,15.8,6.2,0,0.0,0.0,0.0,0.0,0,8,11.7,20.5,0
2025-01-23T21:00,14.0,4.0,0,0.0,0.0,0.0,0.0,0,1,13.0,25.9,0
2025-01-23T22:00,12.4,2.8,0,0.0,0.0,0.0,0.0,0,5,11.9,31.3,0
2025-01-23T23:00,11.9,2.9,0,0.0,0.0,0.0,0.0,0,1,9.3,32.0,0
2025-01-24T00:00,11.0,1.8,0,0.0,0.0,0.0,0.0,0,0,10.1,31.3,0
2025-01-24T01:00,10.2,0.8,0,0.0,0.0,0.0,0.0,0,1,10.8,27.4,0
2025-01-24T02:00,8.7,-0.4,0,0.0,0.0,0.0,0.0,0,3,9.6,27.7,0
2025-01-24T03:00,7.6,-1.4,0,0.0,0.0,0.0,0.0,0,42,9.2,22.0,0
2025-01-24T04:00,6.6,-1.3,0,0.0,0.0,0.0,0.0,0,42,5.2,15.8,0
2025-01-24T05:00,5.6,-3.2,0,0.0,0.0,0.0,0.0,0,42,7.9,19.4,0
2025-01-24T06:00,5.2,-3.9,0,0.0,0.0,0.0,0.0,0,53,9.4,19.4,0
2025-01-24T07:00,4.5,-3.7,0,0.0,0.0,0.0,0.0,0,53,5.9,10.8,0
2025-01-24T08:00,3.4,-4.6,0,0.0,0.0,0.0,0.0,0,44,4.8,9.4,0
2025-01-24T09:00,3.1,-5.0,0,0.0,0.0,0.0,0.0,0,50,5.3,10.1,0
2025-01-24T10:00,4.4,-4.1,0,0.0,0.0,0.0,0.0,0,49,6.9,13.3,0
2025-01-24T11:00,8.5,-0.2,0,0.0,0.0,0.0,0.0,0,50,8.4,16.9,0
2025-01-24T12:00,13.4,4.1,0,0.0,0.0,0.0,0.0,0,1,10.4,27.0,0
2025-01-24T13:00,17.2,6.4,0,0.0,0.0,0.0,0.0,0,2,16.1,25.6,0
2025-01-24T14:00,18.8,7.6,0,0.0,0.0,0.0,0.0,4,5,17.3,23.8,4
2025-01-24T15:00,20.2,9.5,0,0.0,0.0,0.0,0.0,0,7,16.3,25.2,6
2025-01-24T16:00,20.3,10.1,0,0.0,0.0,0.0,0.0,3,25,14.5,25.6,25
2025-01-24T17:00,21.2,10.7,0,0.0,0.0,0.0,0.0,0,57,15.9,24.5,57
2025-01-24T18:00,20.9,10.8,0,0.0,0.0,0.0,0.0,0,66,13.8,23.8,66
2025-01-24T19:00,19.6,10.1,0,0.0,0.0,0.0,0.0,0,86,12.0,25.9,86
2025-01-24T20:00,20.6,10.4,0,0.0,0.0,0.0,0.0,0,17,14.8,32.4,17
2025-01-24T21:00,20.1,10.4,0,0.0,0.0,0.0,0.0,1,61,13.1,39.6,61
2025-01-24T22:00,20.9,10.2,1,0.0,0.0,0.0,0.0,55,99,17.7,39.2,99
2025-01-24T23:00,21.3,10.3,1,0.0,0.0,0.0,0.0,4,99,18.1,47.5,84
2025-01-25T00:00,20.9,10.6,2,0.0,0.0,0.0,0.0,0,31,15.7,52.2,22
2025-01-25T01:00,21.2,11.0,1,0.0,0.0,0.0,0.0,0,99,15.6,56.2,20
2025-01-25T02:00,21.7,11.0,0,0.0,0.0,0.0,0.0,0,9,17.9,59.4,9
2025-01-25T03:00,22.8,12.0,0,0.0,0.0,0.0,0.0,0,59,18.9,56.5,59
2025-01-25T04:00,23.3,11.5,0,0.0,0.0,0.0,0.0,0,33,22.2,59.4,33
