time,temperature_2m_max_bom_access_global,daylight_duration_bom_access_global,precipitation_hours_bom_access_global,precipitation_probability_max_bom_access_global,wind_speed_10m_max_bom_access_global,temperature_2m_max_cma_grapes_global,daylight_duration_cma_grapes_global,precipitation_hours_cma_grapes_global,precipitation_probability_max_cma_grapes_global,wind_speed_10m_max_cma_grapes_global,temperature_2m_max_ecmwf_ifs025,daylight_duration_ecmwf_ifs025,precipitation_hours_ecmwf_ifs025,precipitation_probability_max_ecmwf_ifs025,wind_speed_10m_max_ecmwf_ifs025,temperature_2m_max_best_match,daylight_duration_best_match,precipitation_hours_best_match,precipitation_probability_max_best_match,wind_speed_10m_max_best_match,temperature_2m_max_knmi_seamless,daylight_duration_knmi_seamless,precipitation_hours_knmi_seamless,precipitation_probability_max_knmi_seamless,wind_speed_10m_max_knmi_seamless,temperature_2m_max_dmi_seamless,daylight_duration_dmi_seamless,precipitation_hours_dmi_seamless,precipitation_probability_max_dmi_seamless,wind_speed_10m_max_dmi_seamless,temperature_2m_max_gfs_seamless,daylight_duration_gfs_seamless,precipitation_hours_gfs_seamless,precipitation_probability_max_gfs_seamless,wind_speed_10m_max_gfs_seamless,forecast
2024-08-11,86.1,49958.93,5.0,0,18.7,86.9,49938.02,3.0,0,31.1,86.4,49923.51,0.0,0,29.9,87.8,49946.5,0.0,0.0,27.7,86.4,49923.51,0.0,0,29.9,86.4,49923.51,0.0,0,29.9,87.8,49946.5,0.0,0.0,27.7,87.8
2024-08-12,83.5,49823.34,4.0,0,25.6,83.9,49802.89,6.0,0,17.5,86.3,49788.7,3.0,0,19.8,86.6,49811.19,0.0,0.0,26.9,86.3,49788.7,3.0,0,19.8,86.3,49788.7,3.0,0,19.8,86.6,49811.19,0.0,0.0,26.9,86.6
2024-08-13,83.8,49686.8,6.0,0,19.8,85.6,49666.81,12.0,0,21.4,89.0,49652.93,6.0,0,14.9,86.1,49674.92,1.0,0.0,27.1,89.0,49652.93,6.0,0,14.9,89.0,49652.93,6.0,0,14.9,86.1,49674.92,1.0,0.0,27.1,86.1
2024-08-14,84.0,49549.43,6.0,0,18.4,85.6,49529.89,0.0,0,20.2,85.0,49516.33,3.0,0,21.3,87.2,49537.82,0.0,0.0,18.1,85.0,49516.33,3.0,0,21.3,85.0,49516.33,3.0,0,21.3,87.2,49537.82,0.0,0.0,18.1,87.2
2024-08-15,84.0,49411.32,1.0,0,15.1,82.3,49392.25,0.0,0,19.8,84.6,49379.01,0.0,0,20.3,84.6,49399.98,0.0,0.0,21.2,84.6,49379.01,0.0,0,20.3,84.6,49379.01,0.0,0,20.3,84.6,49399.98,0.0,0.0,21.2,84.6
2024-08-16,89.2,49272.6,2.0,0,14.4,82.9,49253.98,0.0,0,18.1,90.1,49241.06,0.0,0,12.0,91.2,49261.54,0.0,0.0,20.7,90.1,49241.06,0.0,0,12.0,90.1,49241.06,0.0,0,12.0,91.2,49261.54,0.0,0.0,20.7,91.2
2024-08-17,94.5,49133.36,3.0,0,18.7,92.4,49115.21,0.0,0,24.2,95.1,49102.61,0.0,0,24.7,95.5,49122.57,0.0,0.0,25.0,95.1,49102.61,0.0,0,24.7,95.1,49102.61,0.0,0,24.7,95.5,49122.57,0.0,0.0,25.0,95.5
2024-08-18,92.7,48993.73,2.0,0,22.7,89.5,48976.04,0.0,0,22.4,92.7,48963.76,0.0,0,12.5,93.0,48983.21,0.0,0.0,27.1,92.7,48963.76,0.0,0,12.5,92.7,48963.76,0.0,0,12.5,93.0,48983.21,0.0,0.0,27.1,93.0
2024-08-19,88.7,48853.79,3.0,0,20.2,88.2,48836.56,6.0,0,16.2,90.1,48824.61,0.0,0,16.9,88.1,48843.55,4.0,0.0,23.4,90.1,48824.61,0.0,0,16.9,90.1,48824.61,0.0,0,16.9,88.1,48843.55,4.0,0.0,23.4,88.1
2024-08-20,92.6,48713.32,1.0,0,19.1,90.1,48696.56,0.0,0,18.4,92.2,48684.93,0.0,0,21.8,93.3,48703.36,0.0,0.0,19.6,92.2,48684.93,0.0,0,21.8,92.2,48684.93,0.0,0,21.8,93.3,48703.36,0.0,0.0,19.6,93.3
2024-08-21,92.3,48571.36,4.0,0,20.2,89.9,48555.07,0.0,0,21.0,91.5,48543.76,0.0,0,31.0,92.4,48561.68,1.0,0.0,31.3,91.5,48543.76,0.0,0,31.0,91.5,48543.76,0.0,0,31.0,92.4,48561.68,1.0,0.0,31.3,92.4
2024-08-22,86.0,48427.95,8.0,0,13.0,81.9,48412.12,6.0,0,38.4,85.9,48401.13,3.0,0,21.7,85.9,48418.54,2.0,0.0,32.2,85.9,48401.13,3.0,0,21.7,85.9,48401.13,3.0,0,21.7,85.9,48418.54,2.0,0.0,32.2,85.9
2024-08-23,86.7,48283.18,3.0,0,12.6,84.9,48267.83,0.0,0,10.4,83.6,48257.18,3.0,0,21.7,87.8,48274.05,1.0,0.0,31.1,83.6,48257.18,3.0,0,21.7,83.6,48257.18,3.0,0,21.7,87.8,48274.05,1.0,0.0,31.1,87.8
2024-08-24,88.0,48137.2,5.0,0,17.6,89.0,48122.32,6.0,0,18.8,89.6,48112.0,3.0,0,19.2,89.0,48128.36,0.0,0.0,17.5,89.6,48112.0,3.0,0,19.2,89.6,48112.0,3.0,0,19.2,89.0,48128.36,0.0,0.0,17.5,89.0
2024-08-25,90.1,47990.1,4.0,0,20.2,88.4,47975.71,0.0,0,23.6,90.6,47965.73,0.0,0,24.2,90.7,47981.55,1.0,0.0,27.2,90.6,47965.73,0.0,0,24.2,90.6,47965.73,0.0,0,24.2,90.7,47981.55,1.0,0.0,27.2,90.7
2024-08-26,84.0,47842.01,4.0,0,18.0,84.1,47828.11,12.0,0,21.4,86.0,47818.45,3.0,0,18.2,85.1,47833.75,1.0,0.0,29.4,86.0,47818.45,3.0,0,18.2,86.0,47818.45,3.0,0,18.2,85.1,47833.75,1.0,0.0,29.4,85.1
2024-08-27,85.6,47693.03,0.0,0,19.1,81.3,47679.61,0.0,0,17.7,84.3,47670.3,0.0,0,18.5,84.8,47685.05,0.0,0.0,20.4,84.3,47670.3,0.0,0,18.5,84.3,47670.3,0.0,0,18.5,84.8,47685.05,0.0,0.0,20.4,84.8
2024-08-28,90.4,47543.27,0.0,0,20.2,87.6,47530.34,0.0,0,23.1,90.3,47521.36,0.0,0,20.9,90.9,47535.58,0.0,0.0,20.3,90.3,47521.36,0.0,0,20.9,90.3,47521.36,0.0,0,20.9,90.9,47535.58,0.0,0.0,20.3,90.9
2024-08-29,83.8,47392.84,2.0,0,22.7,81.6,47380.39,0.0,0,22.5,83.9,47371.76,0.0,0,21.6,83.2,47385.44,0.0,0.0,22.8,83.9,47371.76,0.0,0,21.6,83.9,47371.76,0.0,0,21.6,83.2,47385.44,0.0,0.0,22.8,83.2
2024-08-30,86.4,47241.83,0.0,0,14.0,81.7,47229.88,0.0,0,19.6,85.6,47221.58,0.0,0,19.1,84.9,47234.73,0.0,0.0,20.4,85.6,47221.58,0.0,0,19.1,85.6,47221.58,0.0,0,19.1,84.9,47234.73,0.0,0.0,20.4,84.9
