time,temperature_2m,apparent_temperature,precipitation_probability,precipitation,rain,showers,snowfall,cloud_cover_high,cloud_cover,wind_speed_10m,wind_gusts_10m,cloud_cover_mid,dew_point_2m,wet_bulb_temperature_2m
2024-08-01T00:00,74.4,66.9,0.0,0.0,0.0,0.0,0.0,0,0,19.6,21.6,0,40.1,56.0
2024-08-01T01:00,73.7,68.0,0.0,0.0,0.0,0.0,0.0,0,0,10.1,18.4,0,36.7,54.4
2024-08-01T02:00,72.1,66.5,0.0,0.0,0.0,0.0,0.0,0,0,7.9,10.8,0,34.3,52.9
2024-08-01T03:00,70.0,66.3,0.0,0.0,0.0,0.0,0.0,0,0,1.5,8.6,0,35.4,52.4
2024-08-01T04:00,65.9,61.0,0.0,0.0,0.0,0.0,0.0,0,0,8.2,8.3,0,38.2,51.5
2024-08-01T05:00,63.5,60.0,0.0,0.0,0.0,0.0,0.0,0,0,2.6,4.3,0,38.1,50.3
2024-08-01T06:00,64.3,58.9,0.0,0.0,0.0,0.0,0.0,0,0,7.8,9.7,0,34.6,49.5
2024-08-01T07:00,61.8,56.9,0.0,0.0,0.0,0.0,0.0,0,0,7.8,10.4,0,37.8,49.4
2024-08-01T08:00,59.6,55.0,0.0,0.0,0.0,0.0,0.0,0,0,5.9,9.7,0,36.5,47.8
2024-08-01T09:00,59.6,56.2,0.0,0.0,0.0,0.0,0.0,0,0,4.6,9.0,0,41.0,49.5
2024-08-01T10:00,69.6,67.7,0.0,0.0,0.0,0.0,0.0,0,0,1.8,4.3,0,44.2,55.5
2024-08-01T11:00,75.0,72.8,0.0,0.0,0.0,0.0,0.0,0,0,2.5,4.0,0,44.0,57.8
2024-08-01T12:00,81.7,79.8,0.0,0.0,0.0,0.0,0.0,0,0,3.0,15.1,0,42.5,59.8
2024-08-01T13:00,85.8,85.0,0.0,0.0,0.0,0.0,0.0,0,0,6.9,13.3,0,43.8,61.9
2024-08-01T14:00,90.1,90.4,0.0,0.0,0.0,0.0,0.0,0,0,8.5,9.4,0,45.0,64.0
2024-08-01T15:00,94.8,95.6,0.0,0.0,0.0,0.0,0.0,0,0,7.1,10.1,0,41.7,64.2
2024-08-01T16:00,97.3,98.4,0.0,0.0,0.0,0.0,0.0,0,0,6.7,18.4,0,42.0,65.2
2024-08-01T17:00,99.3,97.6,0.0,0.0,0.0,0.0,0.0,0,0,10.5,20.9,0,37.8,64.2
2024-08-01T18:00,101.1,96.2,0.0,0.0,0.0,0.0,0.0,0,0,14.0,30.2,0,31.9,62.8
2024-08-01T19:00,99.6,94.2,0.0,0.0,0.0,0.0,0.0,0,0,11.0,27.7,0,33.4,62.8
2024-08-01T20:00,99.0,90.8,0.0,0.0,0.0,0.0,0.0,0,62,15.6,27.7,62,30.3,61.6
2024-08-01T21:00,97.3,87.6,0.0,0.0,0.0,0.0,0.0,0,1,18.1,26.6,1,23.0,58.9
2024-08-01T22:00,92.1,83.2,0.0,0.0,0.0,0.0,0.0,0,0,17.1,35.3,0,27.8,58.5
2024-08-01T23:00,85.0,80.2,0.0,0.0,0.0,0.0,0.0,0,0,8.7,8.6,0,39.5,60.0
2024-08-02T00:00,84.0,76.9,0.0,0.0,0.0,0.0,0.0,0,0,21.8,33.8,0,44.4,61.5
2024-08-02T01:00,80.2,77.6,0.0,0.0,0.0,0.0,0.0,0,0,17.3,51.1,0,56.3,65.3
2024-08-02T02:00,76.9,72.7,0.0,0.0,0.0,0.0,0.0,2,2,16.9,37.4,0,50.8,61.4
2024-08-02T03:00,76.3,74.5,0.0,0.0,0.0,0.0,0.0,83,83,8.4,14.0,0,51.5,61.5
2024-08-02T04:00,74.1,71.6,0.0,0.0,0.0,0.0,0.0,6,6,7.2,9.0,0,47.6,58.9
2024-08-02T05:00,70.6,66.5,0.0,0.0,0.0,0.0,0.0,0,0,9.0,11.5,0,43.1,55.5
2024-08-02T06:00,68.5,65.5,0.0,0.0,0.0,0.0,0.0,0,0,4.3,4.3,0,42.5,54.3
2024-08-02T07:00,65.4,62.9,0.0,0.0,0.0,0.0,0.0,0,0,5.2,5.0,0,45.7,54.2
2024-08-02T08:00,65.3,61.1,0.0,0.0,0.0,0.0,0.0,0,0,12.1,14.4,0,46.2,54.3
2024-08-02T09:00,63.9,63.4,0.0,0.0,0.0,0.0,0.0,0,0,3.1,7.9,0,51.0,56.0
2024-08-02T10:00,72.1,73.1,0.0,0.0,0.0,0.0,0.0,0,0,1.1,3.2,0,54.1,61.0
