time,temperature_2m_max_bom_access_global,daylight_duration_bom_access_global,precipitation_hours_bom_access_global,precipitation_probability_max_bom_access_global,wind_speed_10m_max_bom_access_global,temperature_2m_max_cma_grapes_global,daylight_duration_cma_grapes_global,precipitation_hours_cma_grapes_global,precipitation_probability_max_cma_grapes_global,wind_speed_10m_max_cma_grapes_global,temperature_2m_max_ecmwf_ifs025,daylight_duration_ecmwf_ifs025,precipitation_hours_ecmwf_ifs025,precipitation_probability_max_ecmwf_ifs025,wind_speed_10m_max_ecmwf_ifs025,temperature_2m_max_best_match,daylight_duration_best_match,precipitation_hours_best_match,precipitation_probability_max_best_match,wind_speed_10m_max_best_match,temperature_2m_max_knmi_seamless,daylight_duration_knmi_seamless,precipitation_hours_knmi_seamless,precipitation_probability_max_knmi_seamless,wind_speed_10m_max_knmi_seamless,temperature_2m_max_dmi_seamless,daylight_duration_dmi_seamless,precipitation_hours_dmi_seamless,precipitation_probability_max_dmi_seamless,wind_speed_10m_max_dmi_seamless,temperature_2m_max_gfs_seamless,daylight_duration_gfs_seamless,precipitation_hours_gfs_seamless,precipitation_probability_max_gfs_seamless,wind_speed_10m_max_gfs_seamless,forecast
2024-08-12,80.8,48575.27,0.0,0,15.8,81.6,48577.52,0.0,0,20.2,76.3,48541.6,0.0,0,16.1,76.5,48579.05,0.0,0.0,14.7,76.3,48541.6,0.0,0,16.1,76.3,48541.6,0.0,0,16.1,76.5,48579.05,0.0,0.0,14.7,76.5
2024-08-13,81.6,48466.43,0.0,0,18.0,81.9,48468.63,0.0,0,21.4,75.9,48433.49,0.0,0,16.9,78.2,48470.12,0.0,0.0,16.2,75.9,48433.49,0.0,0,16.9,75.9,48433.49,0.0,0,16.9,78.2,48470.12,0.0,0.0,16.2,78.2
2024-08-14,83.5,48356.87,0.0,0,19.8,80.5,48359.02,0.0,0,22.5,76.3,48324.68,0.0,0,16.8,78.3,48360.47,0.0,0.0,15.5,76.3,48324.68,0.0,0,16.8,76.3,48324.68,0.0,0,16.8,78.3,48360.47,0.0,0.0,15.5,78.3
2024-08-15,83.1,48246.68,0.0,0,14.8,83.3,48248.79,0.0,0,17.1,76.8,48215.25,0.0,0,17.7,77.5,48250.21,0.0,0.0,14.8,76.8,48215.25,0.0,0,17.7,76.8,48215.25,0.0,0,17.7,77.5,48250.21,0.0,0.0,14.8,77.5
2024-08-16,85.9,48135.96,0.0,0,19.1,84.3,48138.02,0.0,0,21.7,75.2,48105.27,0.0,0,17.1,81.3,48139.4,0.0,0.0,16.3,75.2,48105.27,0.0,0,17.1,75.2,48105.27,0.0,0,17.1,81.3,48139.4,0.0,0.0,16.3,81.3
2024-08-17,82.1,48024.79,0.0,0,20.9,79.9,48026.8,0.0,0,17.2,73.6,47994.86,0.0,0,15.0,76.6,48028.15,0.0,0.0,15.1,73.6,47994.86,0.0,0,15.0,73.6,47994.86,0.0,0,15.0,76.6,48028.15,0.0,0.0,15.1,76.6
2024-08-18,79.0,47913.26,2.0,0,20.2,78.0,47915.21,0.0,0,22.4,75.4,47884.08,0.0,0,17.2,76.1,47916.53,0.0,0.0,18.0,75.4,47884.08,0.0,0,17.2,75.4,47884.08,0.0,0,17.2,76.1,47916.53,0.0,0.0,18.0,76.1
2024-08-19,83.7,47801.45,0.0,0,17.3,82.4,47803.34,0.0,0,22.3,79.0,47773.02,0.0,0,18.4,79.0,47804.63,0.0,0.0,15.5,79.0,47773.02,0.0,0,18.4,79.0,47773.02,0.0,0,18.4,79.0,47804.63,0.0,0.0,15.5,79.0
2024-08-20,88.5,47689.17,0.0,0,18.7,85.5,47691.02,0.0,0,19.8,81.2,47661.5,0.0,0,18.2,81.9,47692.27,0.0,0.0,15.1,81.2,47661.5,0.0,0,18.2,81.2,47661.5,0.0,0,18.2,81.9,47692.27,0.0,0.0,15.1,81.9
2024-08-21,87.5,47575.66,0.0,0,17.3,87.1,47577.45,0.0,0,21.1,78.3,47548.76,0.0,0,17.5,82.9,47578.67,0.0,0.0,16.3,78.3,47548.76,0.0,0,17.5,78.3,47548.76,0.0,0,17.5,82.9,47578.67,0.0,0.0,16.3,82.9
2024-08-22,82.4,47460.94,0.0,0,20.9,79.0,47462.68,0.0,0,21.0,74.8,47434.81,0.0,0,18.7,76.3,47463.87,0.0,0.0,15.6,74.8,47434.81,0.0,0,18.7,74.8,47434.81,0.0,0,18.7,76.3,47463.87,0.0,0.0,15.6,76.3
2024-08-23,79.0,47345.11,2.0,0,19.4,78.2,47346.8,0.0,0,20.1,72.8,47319.76,0.0,0,17.3,76.4,47347.95,0.0,0.0,18.0,72.8,47319.76,0.0,0,17.3,72.8,47319.76,0.0,0,17.3,76.4,47347.95,0.0,0.0,18.0,76.4
2024-08-24,78.3,47228.27,0.0,0,20.9,75.8,47229.9,0.0,0,18.2,72.7,47203.7,0.0,0,16.2,75.4,47231.02,0.0,0.0,17.8,72.7,47203.7,0.0,0,16.2,72.7,47203.7,0.0,0,16.2,75.4,47231.02,0.0,0.0,17.8,75.4
2024-08-25,82.6,47110.49,0.0,0,21.2,77.8,47112.08,0.0,0,23.5,75.9,47086.72,0.0,0,21.2,76.8,47113.16,0.0,0.0,16.6,75.9,47086.72,0.0,0,21.2,75.9,47086.72,0.0,0,21.2,76.8,47113.16,0.0,0.0,16.6,76.8
2024-08-26,83.7,46991.88,0.0,0,18.4,83.1,46993.42,0.0,0,21.0,78.0,46968.91,0.0,0,18.1,78.0,46994.46,0.0,0.0,15.8,78.0,46968.91,0.0,0,18.1,78.0,46968.91,0.0,0,18.1,78.0,46994.46,0.0,0.0,15.8,78.0
2024-08-27,80.9,46872.53,0.0,0,16.9,79.3,46874.01,0.0,0,16.3,75.0,46850.36,0.0,0,15.5,73.0,46875.02,0.0,0.0,13.4,75.0,46850.36,0.0,0,15.5,75.0,46850.36,0.0,0,15.5,73.0,46875.02,0.0,0.0,13.4,73.0
