time,temperature_2m_max_bom_access_global,daylight_duration_bom_access_global,precipitation_hours_bom_access_global,precipitation_probability_max_bom_access_global,wind_speed_10m_max_bom_access_global,temperature_2m_max_cma_grapes_global,daylight_duration_cma_grapes_global,precipitation_hours_cma_grapes_global,precipitation_probability_max_cma_grapes_global,wind_speed_10m_max_cma_grapes_global,temperature_2m_max_ecmwf_ifs025,daylight_duration_ecmwf_ifs025,precipitation_hours_ecmwf_ifs025,precipitation_probability_max_ecmwf_ifs025,wind_speed_10m_max_ecmwf_ifs025,temperature_2m_max_best_match,daylight_duration_best_match,precipitation_hours_best_match,precipitation_probability_max_best_match,wind_speed_10m_max_best_match,temperature_2m_max_knmi_seamless,daylight_duration_knmi_seamless,precipitation_hours_knmi_seamless,precipitation_probability_max_knmi_seamless,wind_speed_10m_max_knmi_seamless,temperature_2m_max_dmi_seamless,daylight_duration_dmi_seamless,precipitation_hours_dmi_seamless,precipitation_probability_max_dmi_seamless,wind_speed_10m_max_dmi_seamless,temperature_2m_max_gfs_seamless,daylight_duration_gfs_seamless,precipitation_hours_gfs_seamless,precipitation_probability_max_gfs_seamless,wind_speed_10m_max_gfs_seamless,forecast
2024-08-11,89.6,47237.03,5.0,0,10.8,92.0,47232.55,0.0,0,10.6,89.7,47222.3,3.0,0,12.7,93.4,47229.27,0.0,0.0,16.6,89.7,47222.3,3.0,0,12.7,89.7,47222.3,3.0,0,12.7,93.4,47229.27,0.0,0.0,16.6,93.4
2024-08-12,87.9,47159.8,10.0,0,11.9,91.0,47155.41,0.0,0,11.6,90.1,47145.38,3.0,0,13.1,93.5,47152.21,0.0,0.0,17.1,90.1,47145.38,3.0,0,13.1,90.1,47145.38,3.0,0,13.1,93.5,47152.21,0.0,0.0,17.1,93.5
2024-08-13,87.9,47081.97,7.0,0,9.7,92.5,47077.67,0.0,0,9.8,88.2,47067.86,12.0,0,11.8,93.8,47074.54,0.0,0.0,16.3,88.2,47067.86,12.0,0,11.8,88.2,47067.86,12.0,0,11.8,93.8,47074.54,0.0,0.0,16.3,93.8
2024-08-14,89.5,47003.6,9.0,0,6.5,92.6,46999.4,0.0,0,7.4,90.1,46989.8,9.0,0,9.2,94.6,46996.33,1.0,0.0,12.1,90.1,46989.8,9.0,0,9.2,90.1,46989.8,9.0,0,9.2,94.6,46996.33,1.0,0.0,12.1,94.6
2024-08-15,91.2,46924.75,7.0,0,7.2,92.8,46920.65,6.0,0,7.2,88.9,46911.28,12.0,0,9.9,93.8,46917.66,4.0,0.0,15.4,88.9,46911.28,12.0,0,9.9,88.9,46911.28,12.0,0,9.9,93.8,46917.66,4.0,0.0,15.4,93.8
2024-08-16,85.1,46845.5,9.0,0,15.8,87.2,46841.5,12.0,0,10.6,85.6,46832.35,12.0,0,16.9,89.1,46838.57,2.0,0.0,21.1,85.6,46832.35,12.0,0,16.9,85.6,46832.35,12.0,0,16.9,89.1,46838.57,2.0,0.0,21.1,89.1
2024-08-17,88.0,46765.91,8.0,0,15.1,89.4,46762.0,0.0,0,12.6,87.8,46753.07,9.0,0,14.6,92.3,46759.15,0.0,0.0,18.4,87.8,46753.07,9.0,0,14.6,87.8,46753.07,9.0,0,14.6,92.3,46759.15,0.0,0.0,18.4,92.3
2024-08-18,85.5,46686.02,6.0,0,9.4,88.7,46682.21,0.0,0,9.6,85.1,46673.51,9.0,0,11.2,88.5,46679.43,2.0,0.0,14.2,85.1,46673.51,9.0,0,11.2,85.1,46673.51,9.0,0,11.2,88.5,46679.43,2.0,0.0,14.2,88.5
2024-08-19,85.9,46605.92,6.0,0,10.4,88.2,46602.2,0.0,0,9.4,83.8,46593.73,9.0,0,11.9,89.8,46599.5,1.0,0.0,14.8,83.8,46593.73,9.0,0,11.9,83.8,46593.73,9.0,0,11.9,89.8,46599.5,1.0,0.0,14.8,89.8
2024-08-20,89.6,46525.46,7.0,0,14.8,89.6,46521.84,0.0,0,13.2,87.3,46513.59,6.0,0,18.5,92.0,46519.21,1.0,0.0,16.6,87.3,46513.59,6.0,0,18.5,87.3,46513.59,6.0,0,18.5,92.0,46519.21,1.0,0.0,16.6,92.0
2024-08-21,89.0,46444.09,9.0,0,11.2,90.4,46440.57,6.0,0,10.1,88.5,46432.55,12.0,0,15.6,91.2,46438.01,4.0,0.0,17.3,88.5,46432.55,12.0,0,15.6,88.5,46432.55,12.0,0,15.6,91.2,46438.01,4.0,0.0,17.3,91.2
2024-08-22,86.5,46361.83,8.0,0,8.3,89.8,46358.42,3.0,0,7.2,85.3,46350.62,9.0,0,10.5,90.1,46355.93,1.0,0.0,19.8,85.3,46350.62,9.0,0,10.5,85.3,46350.62,9.0,0,10.5,90.1,46355.93,1.0,0.0,19.8,90.1
2024-08-23,88.4,46278.76,8.0,0,17.6,88.6,46275.45,6.0,0,11.6,85.7,46267.88,12.0,0,16.6,88.4,46273.03,2.0,0.0,22.7,85.7,46267.88,12.0,0,16.6,85.7,46267.88,12.0,0,16.6,88.4,46273.03,2.0,0.0,22.7,88.4
2024-08-24,85.6,46194.93,5.0,0,13.0,84.2,46191.73,9.0,0,10.1,84.5,46184.39,12.0,0,14.2,83.8,46189.38,6.0,0.0,12.3,84.5,46184.39,12.0,0,14.2,84.5,46184.39,12.0,0,14.2,83.8,46189.38,6.0,0.0,12.3,83.8
2024-08-25,87.2,46110.42,6.0,0,7.9,89.9,46107.32,0.0,0,10.0,87.7,46100.22,12.0,0,11.4,87.9,46105.05,1.0,0.0,16.2,87.7,46100.22,12.0,0,11.4,87.7,46100.22,12.0,0,11.4,87.9,46105.05,1.0,0.0,16.2,87.9
2024-08-26,88.5,46025.29,15.0,0,14.4,90.6,46022.29,0.0,0,10.3,89.4,46015.43,0.0,0,15.9,89.1,46020.1,0.0,0.0,17.0,89.4,46015.43,0.0,0,15.9,89.4,46015.43,0.0,0,15.9,89.1,46020.1,0.0,0.0,17.0,89.1
2024-08-27,86.9,45939.6,12.0,0,16.9,90.5,45936.71,6.0,0,13.7,88.4,45930.09,15.0,0,22.7,91.2,45934.59,0.0,0.0,22.3,88.4,45930.09,15.0,0,22.7,88.4,45930.09,15.0,0,22.7,91.2,45934.59,0.0,0.0,22.3,91.2
2024-08-28,86.0,45853.43,11.0,0,15.1,87.9,45850.63,3.0,0,10.3,83.6,45844.26,9.0,0,19.6,87.7,45848.6,0.0,0.0,18.7,83.6,45844.26,9.0,0,19.6,83.6,45844.26,9.0,0,19.6,87.7,45848.6,0.0,0.0,18.7,87.7
2024-08-29,85.4,45766.82,7.0,0,15.8,88.2,45764.12,0.0,0,12.6,83.3,45757.99,21.0,0,17.9,88.1,45762.17,4.0,0.0,19.2,83.3,45757.99,21.0,0,17.9,83.3,45757.99,21.0,0,17.9,88.1,45762.17,4.0,0.0,19.2,88.1
2024-08-30,84.9,45679.84,11.0,0,18.7,88.0,45677.25,0.0,0,15.1,84.5,45671.36,18.0,0,17.2,86.7,45675.37,1.0,0.0,22.7,84.5,45671.36,18.0,0,17.2,84.5,45671.36,18.0,0,17.2,86.7,45675.37,1.0,0.0,22.7,86.7
