time,temperature_2m_max_bom_access_global,daylight_duration_bom_access_global,precipitation_hours_bom_access_global,precipitation_probability_max_bom_access_global,wind_speed_10m_max_bom_access_global,temperature_2m_max_cma_grapes_global,daylight_duration_cma_grapes_global,precipitation_hours_cma_grapes_global,precipitation_probability_max_cma_grapes_global,wind_speed_10m_max_cma_grapes_global,temperature_2m_max_ecmwf_ifs025,daylight_duration_ecmwf_ifs025,precipitation_hours_ecmwf_ifs025,precipitation_probability_max_ecmwf_ifs025,wind_speed_10m_max_ecmwf_ifs025,temperature_2m_max_best_match,daylight_duration_best_match,precipitation_hours_best_match,precipitation_probability_max_best_match,wind_speed_10m_max_best_match,temperature_2m_max_knmi_seamless,daylight_duration_knmi_seamless,precipitation_hours_knmi_seamless,precipitation_probability_max_knmi_seamless,wind_speed_10m_max_knmi_seamless,temperature_2m_max_dmi_seamless,daylight_duration_dmi_seamless,precipitation_hours_dmi_seamless,precipitation_probability_max_dmi_seamless,wind_speed_10m_max_dmi_seamless,temperature_2m_max_gfs_seamless,daylight_duration_gfs_seamless,precipitation_hours_gfs_seamless,precipitation_probability_max_gfs_seamless,wind_speed_10m_max_gfs_seamless,forecast
2024-08-10,85.3,50320.09,2.0,0,14.4,84.8,50313.38,3.0,0,18.0,84.6,50298.06,3.0,0,19.1,87.5,50307.51,0.0,0.0,18.7,84.6,50298.06,3.0,0,19.1,84.6,50298.06,3.0,0,19.1,87.5,50307.51,0.0,0.0,18.7,87.5
2024-08-11,80.5,50180.76,0.0,0,15.1,79.3,50174.19,0.0,0,15.1,80.8,50159.21,0.0,0,17.1,83.9,50168.45,0.0,0.0,15.1,80.8,50159.21,0.0,0,17.1,80.8,50159.21,0.0,0,17.1,83.9,50168.45,0.0,0.0,15.1,83.9
2024-08-12,78.4,50040.34,7.0,0,15.1,81.0,50033.92,3.0,0,18.7,80.2,50019.25,3.0,0,17.6,81.7,50028.3,1.0,0.0,27.6,80.2,50019.25,3.0,0,17.6,80.2,50019.25,3.0,0,17.6,81.7,50028.3,1.0,0.0,27.6,81.7
2024-08-13,80.2,49898.94,0.0,0,13.0,79.0,49892.66,0.0,0,14.7,80.2,49878.33,0.0,0,13.0,82.2,49887.17,0.0,0.0,15.3,80.2,49878.33,0.0,0,13.0,80.2,49878.33,0.0,0,13.0,82.2,49887.17,0.0,0.0,15.3,82.2
2024-08-14,85.2,49756.68,3.0,0,12.6,84.2,49750.55,0.0,0,14.5,85.5,49736.55,0.0,0,16.1,86.7,49745.19,0.0,0.0,15.3,85.5,49736.55,0.0,0,16.1,85.5,49736.55,0.0,0,16.1,86.7,49745.19,0.0,0.0,15.3,86.7
2024-08-15,86.8,49613.68,1.0,0,11.5,85.1,49607.7,0.0,0,14.5,86.6,49594.02,0.0,0,11.1,88.0,49602.46,0.0,0.0,9.7,86.6,49594.02,0.0,0,11.1,86.6,49594.02,0.0,0,11.1,88.0,49602.46,0.0,0.0,9.7,88.0
2024-08-16,87.1,49470.06,0.0,0,14.0,83.3,49464.21,0.0,0,13.7,85.5,49450.88,3.0,0,15.8,87.8,49459.11,0.0,0.0,16.0,85.5,49450.88,3.0,0,15.8,85.5,49450.88,3.0,0,15.8,87.8,49459.11,0.0,0.0,16.0,87.8
2024-08-17,78.2,49325.91,10.0,0,14.4,77.9,49320.21,6.0,0,20.3,79.3,49307.21,9.0,0,22.1,81.3,49315.23,1.0,0.0,19.1,79.3,49307.21,9.0,0,22.1,79.3,49307.21,9.0,0,22.1,81.3,49315.23,1.0,0.0,19.1,81.3
2024-08-18,77.8,49181.36,16.0,0,15.1,80.2,49175.81,18.0,0,20.4,79.2,49163.14,18.0,0,24.8,80.7,49170.96,9.0,0.0,21.0,79.2,49163.14,18.0,0,24.8,79.2,49163.14,18.0,0,24.8,80.7,49170.96,9.0,0.0,21.0,80.7
2024-08-19,83.0,49036.52,13.0,0,15.1,82.9,49031.11,6.0,0,18.7,83.4,49018.76,15.0,0,18.4,86.2,49026.38,5.0,0.0,18.8,83.4,49018.76,15.0,0,18.4,83.4,49018.76,15.0,0,18.4,86.2,49026.38,5.0,0.0,18.8,86.2
