time,temperature_2m,apparent_temperature,precipitation_probability,precipitation,rain,showers,snowfall,cloud_cover_high,cloud_cover,wind_speed_10m,wind_gusts_10m,cloud_cover_mid
2024-07-31T00:00,76.6,81.9,0.0,0.0,0.0,0.0,0.0,3,100,14.1,35.6,0
2024-07-31T01:00,77.0,83.3,0.0,0.0,0.0,0.0,0.0,4,100,10.5,32.8,0
2024-07-31T02:00,77.4,84.2,0.0,0.0,0.0,0.0,0.0,2,100,11.4,32.8,0
2024-07-31T03:00,77.0,82.6,0.0,0.0,0.0,0.0,0.0,0,100,14.7,38.5,0
2024-07-31T04:00,76.6,82.8,0.0,0.0,0.0,0.0,0.0,35,100,12.5,28.4,0
2024-07-31T05:00,75.7,81.6,0.0,0.0,0.0,0.0,0.0,12,100,12.6,29.2,0
2024-07-31T06:00,76.2,83.8,0.0,0.0,0.0,0.0,0.0,59,100,9.0,24.8,0
2024-07-31T07:00,76.0,82.6,0.0,0.0,0.0,0.0,0.0,16,100,8.8,23.4,0
2024-07-31T08:00,76.9,81.4,0.0,0.0,0.0,0.0,0.0,82,100,15.8,26.3,99
2024-07-31T09:00,77.9,82.5,0.0,0.0,0.0,0.0,0.0,99,100,16.6,25.9,17
2024-07-31T10:00,77.9,82.2,0.0,0.0,0.0,0.0,0.0,0,100,16.8,22.7,9
2024-07-31T11:00,79.9,84.2,0.0,0.0,0.0,0.0,0.0,0,100,18.3,24.5,10
2024-07-31T12:00,82.0,88.1,0.0,0.0,0.0,0.0,0.0,0,100,15.9,23.0,0
2024-07-31T13:00,84.9,91.6,0.0,0.0,0.0,0.0,0.0,0,42,18.1,26.6,5
2024-07-31T14:00,84.2,89.8,0.0,0.0,0.0,0.0,0.0,0,100,15.5,24.5,0
2024-07-31T15:00,88.4,91.5,0.0,0.0,0.0,0.0,0.0,0,99,18.7,27.0,7
2024-07-31T16:00,89.2,92.8,0.0,0.0,0.0,0.0,0.0,0,96,18.6,28.1,0
2024-07-31T17:00,91.6,93.6,0.0,0.0,0.0,0.0,0.0,0,34,16.5,26.3,0
2024-07-31T18:00,91.0,92.9,0.0,0.0,0.0,0.0,0.0,3,42,17.9,25.6,0
2024-07-31T19:00,89.4,92.3,0.0,0.0,0.0,0.0,0.0,62,100,14.6,23.0,0
2024-07-31T20:00,87.3,90.5,0.0,0.0,0.0,0.0,0.0,0,80,10.2,20.9,0
2024-07-31T21:00,81.0,85.9,0.0,6.4,6.4,0.0,0.0,0,100,5.4,12.2,65
2024-07-31T22:00,78.2,84.6,0.0,0.0,0.0,0.0,0.0,0,100,10.2,28.1,39
2024-07-31T23:00,76.6,85.5,0.0,0.0,0.0,0.0,0.0,67,71,0.7,7.6,71
2024-08-01T00:00,76.0,83.6,0.0,0.0,0.0,0.0,0.0,0,22,0.7,11.2,22
2024-08-01T01:00,76.1,83.3,0.0,0.0,0.0,0.0,0.0,0,14,3.3,6.8,14
2024-08-01T02:00,76.0,83.0,0.0,0.0,0.0,0.0,0.0,0,0,3.1,9.4,0
2024-08-01T03:00,75.2,82.3,0.0,0.0,0.0,0.0,0.0,0,8,2.5,6.5,0
2024-08-01T04:00,74.6,80.9,0.0,0.0,0.0,0.0,0.0,0,0,2.0,4.3,0
2024-08-01T05:00,74.2,80.2,0.0,0.0,0.0,0.0,0.0,0,0,2.2,5.4,0
2024-08-01T06:00,74.2,80.0,0.0,0.0,0.0,0.0,0.0,0,0,2.9,7.2,0
2024-08-01T07:00,74.2,82.1,0.0,0.0,0.0,0.0,0.0,0,1,1.1,4.3,0
2024-08-01T08:00,77.9,85.5,0.0,0.0,0.0,0.0,0.0,0,3,6.5,10.1,0
2024-08-01T09:00,80.6,88.0,0.0,0.0,0.0,0.0,0.0,0,0,6.5,12.2,0
2024-08-01T10:00,85.4,92.6,0.0,0.0,0.0,0.0,0.0,0,0,3.7,6.8,0
